20,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.z > # AND s.zWarning = # AND (s.class = &&&) AND s.z < #"
2019-10-31 05:21:00,1
2019-10-31 07:25:00,1
2019-10-31 07:26:00,1
2019-10-31 08:05:00,1
2019-10-31 08:07:00,1
2019-10-31 08:12:00,1
2019-10-31 08:34:00,1
2019-10-31 08:37:00,1
2019-10-31 08:40:00,1
2019-10-31 08:42:00,1
2019-10-31 08:45:00,1
2019-10-31 08:47:00,1
2019-10-31 09:37:00,1
2019-10-31 12:32:00,1
2019-10-31 12:33:00,1
2019-10-31 12:35:00,1
2019-10-31 12:37:00,1
2019-10-31 12:39:00,1
2019-10-31 12:44:00,1
2019-10-31 12:46:00,1
