178,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-10-31 08:35:00,2
2019-10-31 08:37:00,2
2019-10-31 08:39:00,2
2019-10-31 08:41:00,2
2019-10-31 08:45:00,2
2019-10-31 08:51:00,2
2019-10-31 08:52:00,2
2019-10-31 10:11:00,2
2019-10-31 10:12:00,2
2019-10-31 10:17:00,2
2019-10-31 10:19:00,2
2019-10-31 10:20:00,2
2019-10-31 10:21:00,2
2019-10-31 10:24:00,4
2019-10-31 10:25:00,4
2019-10-31 10:26:00,4
2019-10-31 10:29:00,2
2019-10-31 10:33:00,2
2019-10-31 10:35:00,2
2019-10-31 11:48:00,2
2019-10-31 11:49:00,2
2019-10-31 11:52:00,2
2019-10-31 11:56:00,4
2019-10-31 11:57:00,2
2019-10-31 11:58:00,4
2019-10-31 14:14:00,2
2019-10-31 14:15:00,4
2019-10-31 14:16:00,4
2019-10-31 14:17:00,2
2019-10-31 14:20:00,2
2019-10-31 14:22:00,2
2019-10-31 14:24:00,2
2019-10-31 14:28:00,4
2019-10-31 14:29:00,2
2019-10-31 14:30:00,6
2019-10-31 14:31:00,10
2019-10-31 14:32:00,8
2019-10-31 14:33:00,4
2019-10-31 14:34:00,2
2019-10-31 14:44:00,2
2019-10-31 14:47:00,2
2019-10-31 15:14:00,2
2019-10-31 15:17:00,2
2019-10-31 15:18:00,2
2019-10-31 15:19:00,2
2019-10-31 15:20:00,4
2019-10-31 15:21:00,8
2019-10-31 15:22:00,12
2019-10-31 15:23:00,10
2019-10-31 15:24:00,8
2019-10-31 15:25:00,4
2019-10-31 15:28:00,2
2019-10-31 15:30:00,2
2019-10-31 15:33:00,2
