18,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-10-19 04:08:00,1
2019-10-19 06:34:00,2
2019-10-19 06:39:00,2
2019-10-19 06:41:00,2
2019-10-19 06:42:00,1
2019-10-19 06:53:00,1
2019-10-19 07:09:00,1
2019-10-19 07:12:00,1
2019-10-19 07:18:00,2
2019-10-19 07:23:00,1
2019-10-19 11:47:00,1
2019-10-19 11:51:00,1
2019-10-19 23:11:00,1
2019-10-19 23:12:00,1
