2525,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-19 12:30:00,60
2019-10-19 12:31:00,116
2019-10-19 12:34:00,16
2019-10-19 12:35:00,48
2019-10-19 12:36:00,228
2019-10-19 12:37:00,101
2019-10-19 12:38:00,230
2019-10-19 12:39:00,43
2019-10-19 12:40:00,323
2019-10-19 12:41:00,91
2019-10-19 12:42:00,112
2019-10-19 12:43:00,147
2019-10-19 12:44:00,246
2019-10-19 12:45:00,9
2019-10-19 12:46:00,200
2019-10-19 12:47:00,121
2019-10-19 12:48:00,104
2019-10-19 12:49:00,80
2019-10-19 12:50:00,127
2019-10-19 12:51:00,56
2019-10-19 12:52:00,30
2019-10-19 12:53:00,37
