273,select * from fDocFunctionParams(&&&)
2019-10-19 00:06:00,2
2019-10-19 01:17:00,1
2019-10-19 04:58:00,1
2019-10-19 05:18:00,1
2019-10-19 07:15:00,1
2019-10-19 07:20:00,14
2019-10-19 07:21:00,12
2019-10-19 07:22:00,12
2019-10-19 07:23:00,12
2019-10-19 07:24:00,17
2019-10-19 07:25:00,14
2019-10-19 07:26:00,12
2019-10-19 07:27:00,20
2019-10-19 07:28:00,12
2019-10-19 07:29:00,7
2019-10-19 07:30:00,16
2019-10-19 07:31:00,11
2019-10-19 07:32:00,19
2019-10-19 07:33:00,20
2019-10-19 07:34:00,7
2019-10-19 07:35:00,11
2019-10-19 07:36:00,9
2019-10-19 07:37:00,3
2019-10-19 08:42:00,12
2019-10-19 09:08:00,1
2019-10-19 09:38:00,2
2019-10-19 10:21:00,1
2019-10-19 11:33:00,1
2019-10-19 12:09:00,1
2019-10-19 17:41:00,2
2019-10-19 18:42:00,5
2019-10-19 18:44:00,6
2019-10-19 19:26:00,1
2019-10-19 19:27:00,1
2019-10-19 19:34:00,2
2019-10-19 19:53:00,1
2019-10-19 22:18:00,1
2019-10-19 22:59:00,1
2019-10-19 23:18:00,1
