138,"SELECT TOP #  G.objID, G.ra, G.dec, GN.distance, G.Type, G.mode, P.objID, P.ra, P.dec, P.specObjID, P.modelMag_u, P.modelMag_g, P.modelMag_r, P.modelMag_i, P.modelMag_z, P.petroMag_u, P.petroMag_g, P.petroMag_r, P.petroMag_i, P.petroMag_z, P.cModelMag_u, P.cModelMag_g, P.cModelMag_r, P.cModelMag_i, P.cModelMag_z, Pz.objid, Pz.z, Pz.zErr, Pz.photoErrorClass, Pz.absMagU, Pz.absMagG, Pz.absMagR, Pz.absMagI, Pz.absMagZ, Pz.synthU, Pz.synthG, Pz.synthR, Pz.synthI, Pz.synthZ  From   Galaxy as G  JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN  ON G.objID = GN.objID   JOIN PhotoObj AS P  ON P.objID = GN.objid  Join Photoz as Pz  ON Pz.objid = GN.objid  ORDER BY distance"
2019-10-19 07:34:00,1
2019-10-19 07:41:00,2
2019-10-19 07:42:00,1
2019-10-19 07:53:00,2
2019-10-19 07:54:00,1
2019-10-19 08:01:00,1
2019-10-19 08:03:00,2
2019-10-19 08:04:00,1
2019-10-19 10:15:00,1
2019-10-19 10:16:00,1
2019-10-19 10:17:00,3
2019-10-19 10:40:00,7
2019-10-19 10:41:00,10
2019-10-19 10:42:00,9
2019-10-19 10:43:00,10
2019-10-19 10:44:00,9
2019-10-19 10:45:00,5
2019-10-19 10:46:00,1
2019-10-19 10:47:00,10
2019-10-19 10:48:00,8
2019-10-19 10:49:00,7
2019-10-19 10:50:00,5
2019-10-19 10:51:00,4
2019-10-19 10:52:00,4
2019-10-19 10:53:00,4
2019-10-19 10:54:00,4
2019-10-19 10:55:00,3
2019-10-19 11:39:00,1
2019-10-19 11:40:00,10
2019-10-19 11:41:00,9
2019-10-19 11:42:00,2
