867,"SELECT fieldID ,field, run, camcol,raMin,raMax,decMin,decMax FROM Field Where raMin<# and raMax># and decMin<# and decMax>#"
2019-05-20 00:02:00,2
2019-05-20 00:03:00,1
2019-05-20 00:04:00,1
2019-05-20 00:13:00,1
2019-05-20 00:14:00,1
2019-05-20 00:15:00,1
2019-05-20 00:19:00,1
2019-05-20 00:20:00,1
2019-05-20 00:21:00,2
2019-05-20 00:23:00,1
2019-05-20 00:24:00,1
2019-05-20 00:31:00,1
2019-05-20 00:34:00,1
2019-05-20 00:36:00,2
2019-05-20 00:39:00,2
2019-05-20 00:40:00,1
2019-05-20 00:41:00,1
2019-05-20 00:42:00,2
2019-05-20 00:43:00,1
2019-05-20 00:45:00,1
2019-05-20 00:47:00,1
2019-05-20 00:51:00,1
2019-05-20 00:53:00,2
2019-05-20 00:55:00,1
2019-05-20 01:03:00,1
2019-05-20 01:04:00,2
2019-05-20 01:05:00,1
2019-05-20 01:06:00,2
2019-05-20 01:07:00,1
2019-05-20 01:08:00,1
2019-05-20 01:09:00,1
2019-05-20 01:15:00,1
2019-05-20 01:16:00,1
2019-05-20 01:19:00,2
2019-05-20 01:21:00,1
2019-05-20 01:24:00,1
2019-05-20 04:48:00,2
2019-05-20 04:50:00,2
2019-05-20 04:51:00,1
2019-05-20 04:52:00,1
2019-05-20 04:53:00,1
2019-05-20 04:54:00,2
2019-05-20 04:55:00,3
2019-05-20 04:56:00,1
2019-05-20 04:58:00,1
2019-05-20 04:59:00,2
2019-05-20 05:01:00,1
2019-05-20 05:02:00,2
2019-05-20 05:08:00,1
2019-05-20 05:09:00,1
2019-05-20 05:10:00,1
2019-05-20 05:13:00,1
2019-05-20 05:14:00,2
2019-05-20 05:16:00,1
2019-05-20 05:17:00,1
2019-05-20 05:18:00,1
2019-05-20 05:19:00,1
2019-05-20 05:20:00,1
2019-05-20 05:21:00,2
2019-05-20 05:23:00,2
2019-05-20 05:32:00,1
2019-05-20 05:33:00,1
2019-05-20 05:36:00,1
2019-05-20 05:38:00,1
2019-05-20 05:39:00,2
2019-05-20 05:40:00,1
2019-05-20 05:41:00,1
2019-05-20 05:42:00,1
2019-05-20 05:43:00,1
2019-05-20 05:44:00,1
2019-05-20 05:46:00,2
2019-05-20 05:47:00,2
2019-05-20 05:48:00,1
2019-05-20 05:49:00,2
2019-05-20 05:50:00,1
2019-05-20 05:51:00,3
2019-05-20 05:52:00,2
2019-05-20 05:53:00,1
2019-05-20 05:56:00,2
2019-05-20 05:58:00,1
2019-05-20 06:00:00,2
2019-05-20 06:01:00,1
2019-05-20 06:02:00,1
2019-05-20 06:03:00,1
2019-05-20 06:04:00,1
2019-05-20 06:05:00,2
2019-05-20 06:06:00,1
2019-05-20 06:07:00,1
2019-05-20 06:10:00,1
2019-05-20 06:11:00,1
2019-05-20 06:13:00,1
2019-05-20 06:14:00,1
2019-05-20 06:17:00,1
2019-05-20 06:19:00,1
2019-05-20 06:20:00,2
2019-05-20 06:21:00,1
2019-05-20 06:22:00,1
2019-05-20 06:23:00,1
2019-05-20 06:24:00,1
2019-05-20 06:25:00,3
2019-05-20 06:27:00,2
2019-05-20 06:28:00,2
2019-05-20 06:29:00,2
2019-05-20 06:30:00,2
2019-05-20 06:31:00,1
2019-05-20 06:32:00,1
2019-05-20 06:33:00,1
2019-05-20 06:35:00,2
2019-05-20 06:36:00,1
2019-05-20 06:37:00,3
2019-05-20 06:38:00,1
2019-05-20 06:39:00,1
2019-05-20 06:40:00,1
2019-05-20 06:42:00,1
2019-05-20 06:43:00,2
2019-05-20 06:44:00,1
2019-05-20 06:45:00,1
2019-05-20 06:46:00,2
2019-05-20 06:49:00,2
2019-05-20 06:52:00,2
2019-05-20 06:53:00,2
2019-05-20 06:54:00,1
2019-05-20 06:55:00,1
2019-05-20 06:56:00,2
2019-05-20 07:03:00,2
2019-05-20 07:04:00,1
2019-05-20 07:05:00,2
2019-05-20 07:06:00,2
2019-05-20 07:07:00,1
2019-05-20 07:08:00,1
2019-05-20 07:10:00,2
2019-05-20 07:11:00,2
2019-05-20 07:12:00,2
2019-05-20 07:13:00,2
2019-05-20 07:14:00,2
2019-05-20 07:17:00,1
2019-05-20 07:18:00,2
2019-05-20 07:20:00,3
2019-05-20 07:22:00,1
2019-05-20 07:23:00,2
2019-05-20 07:25:00,1
2019-05-20 07:29:00,2
2019-05-20 07:30:00,2
2019-05-20 07:31:00,1
2019-05-20 07:34:00,2
2019-05-20 07:35:00,1
2019-05-20 07:36:00,1
2019-05-20 07:37:00,2
2019-05-20 07:39:00,1
2019-05-20 07:40:00,2
2019-05-20 07:41:00,2
2019-05-20 07:42:00,2
2019-05-20 07:45:00,2
2019-05-20 07:46:00,1
2019-05-20 07:47:00,1
2019-05-20 07:50:00,1
2019-05-20 07:51:00,1
2019-05-20 07:52:00,3
2019-05-20 07:53:00,1
2019-05-20 07:54:00,2
2019-05-20 07:55:00,1
2019-05-20 07:56:00,1
2019-05-20 07:58:00,2
2019-05-20 07:59:00,1
2019-05-20 08:00:00,1
2019-05-20 08:02:00,1
2019-05-20 08:03:00,2
2019-05-20 08:04:00,1
2019-05-20 08:05:00,1
2019-05-20 08:06:00,3
2019-05-20 08:07:00,2
2019-05-20 08:08:00,2
2019-05-20 08:09:00,1
2019-05-20 08:10:00,1
2019-05-20 08:11:00,3
2019-05-20 08:12:00,1
2019-05-20 08:13:00,1
2019-05-20 08:14:00,1
2019-05-20 08:16:00,1
2019-05-20 08:18:00,2
2019-05-20 08:19:00,1
2019-05-20 08:20:00,2
2019-05-20 08:21:00,1
2019-05-20 08:22:00,1
2019-05-20 08:26:00,1
2019-05-20 08:34:00,1
2019-05-20 08:35:00,1
2019-05-20 08:37:00,2
2019-05-20 08:39:00,2
2019-05-20 08:40:00,1
2019-05-20 08:41:00,1
2019-05-20 08:42:00,1
2019-05-20 08:44:00,1
2019-05-20 08:45:00,1
2019-05-20 08:46:00,2
2019-05-20 08:47:00,1
2019-05-20 08:48:00,1
2019-05-20 08:49:00,1
2019-05-20 08:50:00,1
2019-05-20 08:51:00,2
2019-05-20 08:54:00,1
2019-05-20 08:56:00,1
2019-05-20 08:57:00,1
2019-05-20 08:58:00,1
2019-05-20 08:59:00,1
2019-05-20 09:00:00,1
2019-05-20 09:03:00,1
2019-05-20 09:04:00,2
2019-05-20 09:05:00,1
2019-05-20 09:07:00,1
2019-05-20 09:09:00,2
2019-05-20 09:11:00,2
2019-05-20 09:12:00,1
2019-05-20 09:13:00,1
2019-05-20 09:14:00,2
2019-05-20 09:15:00,1
2019-05-20 09:16:00,1
2019-05-20 09:17:00,1
2019-05-20 09:18:00,1
2019-05-20 09:19:00,1
2019-05-20 09:21:00,1
2019-05-20 09:22:00,1
2019-05-20 09:23:00,1
2019-05-20 09:24:00,1
2019-05-20 09:25:00,2
2019-05-20 09:31:00,1
2019-05-20 09:33:00,2
2019-05-20 09:34:00,1
2019-05-20 09:35:00,2
2019-05-20 09:36:00,1
2019-05-20 09:37:00,1
2019-05-20 09:41:00,1
2019-05-20 09:42:00,2
2019-05-20 09:44:00,2
2019-05-20 09:46:00,2
2019-05-20 09:47:00,1
2019-05-20 09:48:00,2
2019-05-20 09:49:00,1
2019-05-20 10:02:00,1
2019-05-20 10:04:00,1
2019-05-20 10:05:00,1
2019-05-20 10:16:00,1
2019-05-20 10:17:00,2
2019-05-20 10:18:00,2
2019-05-20 10:22:00,1
2019-05-20 10:23:00,1
2019-05-20 10:24:00,2
2019-05-20 10:26:00,2
2019-05-20 10:27:00,1
2019-05-20 10:28:00,1
2019-05-20 10:29:00,2
2019-05-20 10:30:00,1
2019-05-20 10:42:00,2
2019-05-20 10:52:00,1
2019-05-20 10:54:00,1
2019-05-20 10:55:00,1
2019-05-20 11:06:00,2
2019-05-20 11:07:00,1
2019-05-20 11:09:00,1
2019-05-20 11:10:00,2
2019-05-20 11:11:00,1
2019-05-20 11:13:00,1
2019-05-20 11:14:00,2
2019-05-20 11:16:00,2
2019-05-20 11:17:00,1
2019-05-20 11:18:00,1
2019-05-20 11:19:00,2
2019-05-20 11:32:00,1
2019-05-20 11:33:00,1
2019-05-20 11:34:00,2
2019-05-20 11:35:00,1
2019-05-20 11:36:00,1
2019-05-20 11:41:00,1
2019-05-20 11:44:00,1
2019-05-20 11:45:00,1
2019-05-20 11:46:00,1
2019-05-20 11:48:00,2
2019-05-20 11:49:00,1
2019-05-20 11:50:00,2
2019-05-20 11:52:00,1
2019-05-20 11:53:00,1
2019-05-20 11:55:00,2
2019-05-20 11:56:00,1
2019-05-20 11:57:00,1
2019-05-20 11:58:00,1
2019-05-20 12:00:00,2
2019-05-20 12:01:00,2
2019-05-20 12:02:00,1
2019-05-20 12:03:00,2
2019-05-20 12:04:00,3
2019-05-20 12:05:00,2
2019-05-20 12:07:00,1
2019-05-20 12:08:00,1
2019-05-20 12:09:00,1
2019-05-20 12:10:00,2
2019-05-20 12:11:00,2
2019-05-20 12:12:00,2
2019-05-20 12:22:00,1
2019-05-20 12:31:00,2
2019-05-20 12:33:00,2
2019-05-20 12:39:00,2
2019-05-20 12:40:00,1
2019-05-20 12:41:00,1
2019-05-20 12:42:00,1
2019-05-20 12:44:00,2
2019-05-20 12:45:00,1
2019-05-20 12:46:00,1
2019-05-20 12:47:00,3
2019-05-20 12:49:00,1
2019-05-20 12:50:00,2
2019-05-20 12:53:00,2
2019-05-20 12:54:00,2
2019-05-20 12:55:00,1
2019-05-20 12:57:00,1
2019-05-20 12:58:00,1
2019-05-20 12:59:00,1
2019-05-20 13:01:00,2
2019-05-20 13:02:00,1
2019-05-20 13:04:00,1
2019-05-20 13:05:00,1
2019-05-20 13:06:00,1
2019-05-20 13:07:00,1
2019-05-20 13:08:00,1
2019-05-20 13:09:00,1
2019-05-20 13:10:00,1
2019-05-20 13:12:00,1
2019-05-20 13:14:00,1
2019-05-20 13:15:00,3
2019-05-20 13:16:00,1
2019-05-20 13:17:00,1
2019-05-20 13:19:00,2
2019-05-20 13:20:00,1
2019-05-20 13:22:00,1
2019-05-20 13:23:00,2
2019-05-20 13:24:00,1
2019-05-20 13:25:00,1
2019-05-20 13:27:00,1
2019-05-20 13:28:00,1
2019-05-20 13:29:00,2
2019-05-20 13:30:00,1
2019-05-20 13:31:00,2
2019-05-20 13:32:00,2
2019-05-20 13:33:00,2
2019-05-20 13:35:00,1
2019-05-20 13:36:00,1
2019-05-20 13:37:00,2
2019-05-20 13:39:00,1
2019-05-20 13:41:00,2
2019-05-20 13:42:00,1
2019-05-20 13:44:00,1
2019-05-20 13:45:00,1
2019-05-20 13:46:00,2
2019-05-20 13:49:00,1
2019-05-20 13:52:00,1
2019-05-20 13:53:00,1
2019-05-20 13:54:00,1
2019-05-20 13:55:00,1
