95,"select m.*,o.objid, o.photoExtractID, o.ra AS ra2, o.dec AS dec2 ,o.fuv_mag,o.fuv_magerr,o.fuv_artifact,o.nuv_mag,o.nuv_magerr,o.nuv_artifact into mydb.neigh_galex_tmp from  MyDB.initial as m CROSS APPLY dbo.fGetNearbyObjEq( m.ra, m.dec, #) AS n JOIN photoobjall as o ON n.objid=o.objid"
2019-05-20 00:08:00,1
2019-05-20 00:19:00,1
2019-05-20 00:31:00,1
2019-05-20 00:43:00,1
2019-05-20 00:54:00,1
2019-05-20 01:06:00,1
2019-05-20 01:18:00,1
2019-05-20 01:30:00,1
2019-05-20 01:42:00,1
2019-05-20 01:54:00,1
2019-05-20 02:05:00,1
2019-05-20 02:17:00,1
2019-05-20 02:28:00,1
2019-05-20 02:40:00,1
2019-05-20 02:51:00,1
2019-05-20 03:02:00,1
2019-05-20 03:12:00,1
2019-05-20 03:23:00,1
2019-05-20 03:34:00,1
2019-05-20 03:44:00,1
2019-05-20 03:55:00,1
2019-05-20 04:05:00,1
2019-05-20 05:16:00,1
2019-05-20 05:26:00,1
2019-05-20 05:37:00,1
2019-05-20 05:47:00,1
2019-05-20 05:57:00,1
2019-05-20 06:08:00,1
2019-05-20 06:19:00,1
2019-05-20 06:30:00,1
2019-05-20 06:40:00,1
2019-05-20 06:51:00,1
2019-05-20 07:02:00,1
2019-05-20 07:13:00,1
2019-05-20 07:24:00,1
2019-05-20 07:35:00,1
2019-05-20 07:45:00,1
2019-05-20 07:56:00,1
2019-05-20 08:07:00,1
2019-05-20 08:18:00,1
2019-05-20 08:29:00,1
2019-05-20 08:41:00,1
2019-05-20 08:53:00,1
2019-05-20 09:05:00,1
2019-05-20 09:16:00,1
2019-05-20 09:28:00,1
2019-05-20 09:39:00,1
2019-05-20 09:52:00,1
2019-05-20 10:04:00,1
2019-05-20 10:16:00,1
2019-05-20 10:27:00,1
2019-05-20 10:38:00,1
2019-05-20 10:48:00,1
2019-05-20 10:59:00,1
2019-05-20 11:10:00,1
2019-05-20 11:21:00,1
2019-05-20 11:32:00,1
2019-05-20 11:42:00,1
2019-05-20 11:53:00,1
2019-05-20 12:04:00,1
2019-05-20 12:16:00,1
2019-05-20 12:27:00,1
2019-05-20 12:37:00,1
2019-05-20 12:48:00,1
2019-05-20 12:58:00,1
2019-05-20 13:09:00,1
2019-05-20 13:19:00,1
2019-05-20 13:30:00,1
2019-05-20 13:40:00,1
2019-05-20 13:51:00,1
2019-05-20 14:02:00,1
2019-05-20 14:13:00,1
2019-05-20 14:23:00,1
2019-05-20 14:34:00,1
2019-05-20 14:44:00,1
2019-05-20 14:55:00,1
2019-05-20 15:05:00,1
2019-05-20 15:16:00,1
2019-05-20 15:26:00,1
2019-05-20 15:37:00,1
2019-05-20 15:48:00,1
2019-05-20 15:59:00,1
2019-05-20 16:09:00,1
2019-05-20 16:20:00,1
2019-05-20 16:31:00,1
2019-05-20 16:41:00,1
2019-05-20 16:52:00,1
2019-05-20 17:03:00,1
2019-05-20 17:14:00,1
2019-05-20 17:25:00,1
2019-05-20 17:36:00,1
2019-05-20 17:47:00,1
2019-05-20 17:58:00,1
2019-05-20 18:09:00,1
2019-05-20 18:20:00,1
