94,"SELECT m.*, dbo.fDateTimeToMJD(s.fobs_dat) as Mjd_f,dbo.fDateTimeToMJD(s.nobs_dat) as Mjd_n    into mydb.gaia_neigh_galex_mjd from  MyDB.neigh_galex_tmp as m, PHOTOEXTRACT as s WHERE m.photoExtractID=s.photoExtractID"
2019-05-20 00:07:00,1
2019-05-20 00:19:00,1
2019-05-20 00:31:00,1
2019-05-20 00:42:00,1
2019-05-20 00:53:00,1
2019-05-20 01:05:00,1
2019-05-20 01:17:00,1
2019-05-20 01:29:00,1
2019-05-20 01:41:00,1
2019-05-20 01:53:00,1
2019-05-20 02:05:00,1
2019-05-20 02:16:00,1
2019-05-20 02:27:00,1
2019-05-20 02:39:00,1
2019-05-20 02:51:00,1
2019-05-20 03:02:00,1
2019-05-20 03:12:00,1
2019-05-20 03:22:00,1
2019-05-20 03:33:00,1
2019-05-20 03:44:00,1
2019-05-20 03:54:00,1
2019-05-20 04:05:00,1
2019-05-20 05:26:00,1
2019-05-20 05:36:00,1
2019-05-20 05:47:00,1
2019-05-20 05:57:00,1
2019-05-20 06:08:00,1
2019-05-20 06:18:00,1
2019-05-20 06:29:00,1
2019-05-20 06:40:00,1
2019-05-20 06:51:00,1
2019-05-20 07:01:00,1
2019-05-20 07:12:00,1
2019-05-20 07:23:00,1
2019-05-20 07:34:00,1
2019-05-20 07:45:00,1
2019-05-20 07:56:00,1
2019-05-20 08:06:00,1
2019-05-20 08:17:00,1
2019-05-20 08:28:00,1
2019-05-20 08:40:00,1
2019-05-20 08:52:00,1
2019-05-20 09:04:00,1
2019-05-20 09:15:00,1
2019-05-20 09:27:00,1
2019-05-20 09:39:00,1
2019-05-20 09:51:00,1
2019-05-20 10:04:00,1
2019-05-20 10:16:00,1
2019-05-20 10:26:00,1
2019-05-20 10:37:00,1
2019-05-20 10:48:00,1
2019-05-20 10:59:00,1
2019-05-20 11:10:00,1
2019-05-20 11:20:00,1
2019-05-20 11:31:00,1
2019-05-20 11:42:00,1
2019-05-20 11:53:00,1
2019-05-20 12:04:00,1
2019-05-20 12:15:00,1
2019-05-20 12:26:00,1
2019-05-20 12:37:00,1
2019-05-20 12:47:00,1
2019-05-20 12:58:00,1
2019-05-20 13:08:00,1
2019-05-20 13:19:00,1
2019-05-20 13:29:00,1
2019-05-20 13:40:00,1
2019-05-20 13:51:00,1
2019-05-20 14:02:00,1
2019-05-20 14:12:00,1
2019-05-20 14:23:00,1
2019-05-20 14:33:00,1
2019-05-20 14:44:00,1
2019-05-20 14:54:00,1
2019-05-20 15:05:00,1
2019-05-20 15:15:00,1
2019-05-20 15:26:00,1
2019-05-20 15:36:00,1
2019-05-20 15:47:00,1
2019-05-20 15:58:00,1
2019-05-20 16:09:00,1
2019-05-20 16:19:00,1
2019-05-20 16:30:00,1
2019-05-20 16:41:00,1
2019-05-20 16:52:00,1
2019-05-20 17:02:00,1
2019-05-20 17:13:00,1
2019-05-20 17:24:00,1
2019-05-20 17:35:00,1
2019-05-20 17:47:00,1
2019-05-20 17:58:00,1
2019-05-20 18:09:00,1
2019-05-20 18:19:00,1
