75,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-05-20 00:02:00,1
2019-05-20 00:03:00,1
2019-05-20 00:05:00,1
2019-05-20 00:11:00,1
2019-05-20 00:14:00,1
2019-05-20 00:15:00,1
2019-05-20 00:16:00,1
2019-05-20 00:17:00,4
2019-05-20 00:18:00,1
2019-05-20 00:20:00,2
2019-05-20 00:21:00,1
2019-05-20 00:24:00,1
2019-05-20 00:25:00,1
2019-05-20 00:26:00,3
2019-05-20 00:28:00,1
2019-05-20 00:30:00,3
2019-05-20 00:33:00,1
2019-05-20 00:36:00,1
2019-05-20 00:38:00,1
2019-05-20 00:39:00,1
2019-05-20 00:41:00,1
2019-05-20 00:47:00,1
2019-05-20 00:48:00,1
2019-05-20 00:49:00,1
2019-05-20 00:50:00,1
2019-05-20 01:00:00,1
2019-05-20 01:04:00,2
2019-05-20 01:06:00,1
2019-05-20 01:07:00,1
2019-05-20 01:12:00,1
2019-05-20 01:13:00,1
2019-05-20 01:14:00,2
2019-05-20 01:15:00,1
2019-05-20 01:22:00,1
2019-05-20 01:30:00,2
2019-05-20 01:37:00,1
2019-05-20 01:38:00,1
2019-05-20 01:39:00,1
2019-05-20 01:43:00,2
2019-05-20 01:45:00,1
2019-05-20 01:49:00,3
2019-05-20 01:50:00,1
2019-05-20 18:18:00,1
2019-05-20 18:25:00,1
2019-05-20 19:15:00,1
2019-05-20 19:16:00,2
2019-05-20 19:19:00,1
2019-05-20 19:20:00,1
2019-05-20 19:21:00,1
2019-05-20 19:25:00,2
2019-05-20 19:27:00,1
2019-05-20 19:34:00,1
2019-05-20 19:36:00,1
2019-05-20 19:37:00,1
2019-05-20 19:38:00,1
2019-05-20 19:42:00,1
2019-05-20 21:36:00,1
2019-05-20 21:40:00,1
2019-05-20 22:36:00,1
