25,select top # * from [s2#]
2019-02-12 11:37:00,1
2019-02-12 11:50:00,1
2019-02-12 11:51:00,2
2019-02-12 11:52:00,1
2019-02-12 11:53:00,8
2019-02-12 11:58:00,4
2019-02-12 12:05:00,3
2019-02-12 12:24:00,3
2019-02-12 12:26:00,1
2019-02-12 12:39:00,1
