85,"SELECT p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i, p.Err_i, p.z, p.Err_z FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID = p.objID AND p.type = #"
2019-02-12 00:00:00,1
2019-02-12 00:02:00,1
2019-02-12 00:12:00,1
2019-02-12 00:19:00,1
2019-02-12 00:28:00,1
2019-02-12 00:43:00,1
2019-02-12 00:45:00,1
2019-02-12 00:58:00,1
2019-02-12 01:02:00,1
2019-02-12 01:06:00,1
2019-02-12 01:08:00,1
2019-02-12 01:12:00,1
2019-02-12 01:14:00,1
2019-02-12 01:17:00,1
2019-02-12 01:34:00,1
2019-02-12 01:39:00,1
2019-02-12 01:41:00,1
2019-02-12 01:50:00,1
2019-02-12 02:00:00,1
2019-02-12 02:08:00,1
2019-02-12 02:10:00,1
2019-02-12 02:13:00,1
2019-02-12 02:39:00,1
2019-02-12 02:46:00,1
2019-02-12 02:49:00,1
2019-02-12 03:00:00,1
2019-02-12 03:04:00,1
2019-02-12 03:09:00,1
2019-02-12 03:25:00,1
2019-02-12 03:32:00,1
2019-02-12 03:36:00,1
2019-02-12 03:59:00,1
2019-02-12 04:01:00,1
2019-02-12 04:04:00,1
2019-02-12 04:07:00,1
2019-02-12 04:11:00,1
2019-02-12 04:13:00,1
2019-02-12 04:18:00,1
2019-02-12 04:20:00,1
2019-02-12 04:31:00,1
2019-02-12 04:40:00,1
2019-02-12 04:48:00,1
2019-02-12 05:13:00,1
2019-02-12 05:25:00,1
2019-02-12 05:31:00,1
2019-02-12 05:33:00,1
2019-02-12 05:40:00,1
2019-02-12 05:43:00,1
2019-02-12 05:50:00,1
2019-02-12 06:04:00,1
2019-02-12 06:12:00,1
2019-02-12 06:17:00,1
2019-02-12 06:21:00,1
2019-02-12 06:26:00,1
2019-02-12 06:38:00,1
2019-02-12 06:41:00,1
2019-02-12 07:06:00,1
2019-02-12 07:14:00,1
2019-02-12 07:17:00,1
2019-02-12 07:27:00,1
2019-02-12 07:32:00,1
2019-02-12 07:38:00,1
2019-02-12 07:58:00,1
2019-02-12 08:18:00,1
2019-02-12 08:24:00,1
2019-02-12 08:28:00,1
2019-02-12 08:34:00,1
2019-02-12 08:43:00,1
2019-02-12 08:47:00,1
2019-02-12 08:53:00,1
2019-02-12 08:57:00,1
2019-02-12 09:00:00,1
2019-02-12 09:03:00,1
2019-02-12 09:08:00,1
2019-02-12 09:10:00,1
2019-02-12 09:13:00,1
2019-02-12 09:19:00,1
2019-02-12 09:22:00,1
2019-02-12 09:32:00,1
2019-02-12 09:34:00,1
2019-02-12 20:46:00,1
2019-02-12 21:36:00,1
2019-02-12 21:43:00,1
2019-02-12 22:12:00,1
2019-02-12 22:41:00,1
