5,"SELECT    ROW_NUMBER() OVER(ORDER BY g) #, p.objID, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,    ((p.g + #*(p.g - p.r) + #)) as B,    p.fracDev_g, p.petroRad_g as PRadius, p.petroR9#_g as PRadius9#, p.expAB_g as ratioba, p.expRad_g as efscale,    p.deVRad_g as vfscale,    s.z as redshift,    ((p.g + #*(p.g - p.r) + #) + (#*LOG1#(#*PI()*(p.petroR9#_g)*(p.petroR9#_g))) + (#*LOG1#(p.expAB_g)) -(#*LOG1#(#+s.z))) as moB,    (s.z*(#/#)) as Distancepc,     ((p.g + #*(p.g - p.r) + #) - #*(LOG1#((s.z*(#/#))))) as MB,    ((p.petroR9#_g)*(#)) as PRadius9#radian,    ((p.petroR9#_g)*(#)*(s.z*(#/#))) as PRadius9#pc,    ((p.expRad_g)*(#)) as efscaleradian,    ((p.expRad_g)*(#)*(s.z*(#/#))) as efscalepc,    s.subClass,    st.ssfr_mean as sSFR, st.logMass as msg, st.metallicity,    R.M2#, R.M2#Q, R.M2#ERR, R.V2# as radialvelocityHI, R.V2#Q, R.V2#ERR,    e.bpt, e.Flux_Ha_#,    e.Flux_NI_#, e.Flux_NII_#,    e.Flux_OII_#, e.Flux_OIII_#,    replace( dbo.fGetUrlNavId(p.objID),&&&,&&&) as link,    dbo.fPhotoFlagsN(flags) as flags FROM photoObj p   JOIN specObj s ON s.bestObjID = p.objID   JOIN stellarMassFSPSGranWideDust st ON st.specObjID = s.specObjID   JOIN RC3 R ON R.objID = p.objID   JOIN emissionLinesPort e ON e.specObjID = s.specObjID WHERE     p.type = #    AND p.r <= #    AND p.fracDev_g <= #    AND p.expAB_g > #    AND s.z BETWEEN # AND #    AND s.zWarning = #    AND ((p.g + #*(p.g - p.r) + #) + (#*LOG1#(#*#*(p.petroR9#_g)*(p.petroR9#_g))) + (#*LOG1#(p.expAB_g)) -(#*LOG1#(#+s.z))) BETWEEN # AND #    AND R.M2# > # ORDER BY    p.g, #"
2019-02-12 15:41:00,2
2019-02-12 15:42:00,1
2019-02-12 15:45:00,2
