2,"SELECT ObjID, modelMag_r, z, Class FROM SpecPhoto WHERE (ra between # and #) and (dec between # and #) AND modelMag_r < # AND z < # AND Star"
2019-02-12 07:42:00,1
2019-02-12 07:43:00,1
