5478,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-02-12 00:01:00,5
2019-02-12 00:03:00,1
2019-02-12 00:07:00,1
2019-02-12 00:08:00,18
2019-02-12 00:09:00,12
2019-02-12 00:11:00,5
2019-02-12 00:13:00,1
2019-02-12 00:17:00,1
2019-02-12 00:18:00,18
2019-02-12 00:19:00,13
2019-02-12 00:21:00,5
2019-02-12 00:23:00,1
2019-02-12 00:27:00,1
2019-02-12 00:28:00,18
2019-02-12 00:29:00,12
2019-02-12 00:31:00,6
2019-02-12 00:33:00,1
2019-02-12 00:37:00,1
2019-02-12 00:38:00,18
2019-02-12 00:39:00,12
2019-02-12 00:41:00,5
2019-02-12 00:43:00,1
2019-02-12 00:47:00,1
2019-02-12 00:48:00,19
2019-02-12 00:49:00,12
2019-02-12 00:51:00,5
2019-02-12 00:53:00,1
2019-02-12 00:57:00,1
2019-02-12 00:58:00,18
2019-02-12 00:59:00,12
2019-02-12 01:01:00,5
2019-02-12 01:03:00,1
2019-02-12 01:07:00,1
2019-02-12 01:08:00,17
2019-02-12 01:09:00,12
2019-02-12 01:11:00,5
2019-02-12 01:13:00,2
2019-02-12 01:17:00,1
2019-02-12 01:18:00,19
2019-02-12 01:19:00,12
2019-02-12 01:21:00,5
2019-02-12 01:23:00,1
2019-02-12 01:27:00,1
2019-02-12 01:28:00,19
2019-02-12 01:29:00,12
2019-02-12 01:31:00,5
2019-02-12 01:33:00,1
2019-02-12 01:37:00,1
2019-02-12 01:38:00,18
2019-02-12 01:39:00,12
2019-02-12 01:41:00,5
2019-02-12 01:43:00,1
2019-02-12 01:47:00,1
2019-02-12 01:48:00,17
2019-02-12 01:49:00,12
2019-02-12 01:51:00,5
2019-02-12 01:53:00,1
2019-02-12 01:57:00,1
2019-02-12 01:58:00,17
2019-02-12 01:59:00,13
2019-02-12 02:01:00,5
2019-02-12 02:03:00,1
2019-02-12 02:07:00,1
2019-02-12 02:08:00,18
2019-02-12 02:09:00,12
2019-02-12 02:11:00,5
2019-02-12 02:13:00,1
2019-02-12 02:17:00,1
2019-02-12 02:18:00,18
2019-02-12 02:19:00,12
2019-02-12 02:21:00,5
2019-02-12 02:23:00,1
2019-02-12 02:27:00,1
2019-02-12 02:28:00,14
2019-02-12 02:29:00,15
2019-02-12 02:31:00,5
2019-02-12 02:33:00,1
2019-02-12 02:37:00,1
2019-02-12 02:38:00,14
2019-02-12 02:39:00,15
2019-02-12 02:41:00,6
2019-02-12 02:43:00,1
2019-02-12 02:47:00,1
2019-02-12 02:48:00,15
2019-02-12 02:49:00,16
2019-02-12 02:51:00,5
2019-02-12 02:53:00,1
2019-02-12 02:57:00,1
2019-02-12 02:58:00,14
2019-02-12 02:59:00,19
2019-02-12 03:01:00,5
2019-02-12 03:03:00,1
2019-02-12 03:07:00,1
2019-02-12 03:08:00,13
2019-02-12 03:09:00,18
2019-02-12 03:11:00,5
2019-02-12 03:13:00,1
2019-02-12 03:17:00,1
2019-02-12 03:18:00,12
2019-02-12 03:19:00,17
2019-02-12 03:21:00,5
2019-02-12 03:23:00,1
2019-02-12 03:27:00,1
2019-02-12 03:28:00,13
2019-02-12 03:29:00,17
2019-02-12 03:31:00,5
2019-02-12 03:33:00,1
2019-02-12 03:37:00,1
2019-02-12 03:38:00,13
2019-02-12 03:39:00,17
2019-02-12 03:41:00,5
2019-02-12 03:43:00,1
