12818,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-01 00:31:00,1
2019-12-01 00:32:00,48
2019-12-01 00:33:00,57
2019-12-01 00:34:00,37
2019-12-01 00:35:00,16
2019-12-01 00:36:00,14
2019-12-01 00:37:00,28
2019-12-01 00:38:00,34
2019-12-01 00:39:00,34
2019-12-01 00:40:00,33
2019-12-01 00:41:00,47
2019-12-01 00:42:00,82
2019-12-01 00:43:00,81
2019-12-01 00:44:00,84
2019-12-01 00:45:00,76
2019-12-01 00:46:00,36
2019-12-01 00:47:00,37
2019-12-01 00:48:00,37
2019-12-01 00:49:00,71
2019-12-01 00:50:00,90
2019-12-01 00:51:00,90
2019-12-01 00:52:00,73
2019-12-01 00:53:00,88
2019-12-01 00:54:00,97
2019-12-01 00:55:00,87
2019-12-01 00:56:00,84
2019-12-01 00:57:00,84
2019-12-01 00:58:00,82
2019-12-01 00:59:00,70
2019-12-01 01:00:00,39
2019-12-01 01:01:00,41
2019-12-01 01:02:00,64
2019-12-01 01:03:00,93
2019-12-01 01:04:00,79
2019-12-01 01:05:00,79
2019-12-01 01:06:00,72
2019-12-01 01:07:00,78
2019-12-01 01:08:00,69
2019-12-01 01:09:00,72
2019-12-01 01:10:00,77
2019-12-01 01:11:00,75
2019-12-01 01:12:00,74
2019-12-01 01:13:00,75
2019-12-01 01:14:00,16
2019-12-01 02:21:00,8
2019-12-01 02:22:00,37
2019-12-01 02:23:00,55
2019-12-01 02:24:00,39
2019-12-01 02:25:00,34
2019-12-01 02:26:00,34
2019-12-01 02:27:00,33
2019-12-01 02:28:00,31
2019-12-01 02:29:00,34
2019-12-01 02:30:00,56
2019-12-01 02:31:00,83
2019-12-01 02:32:00,82
2019-12-01 02:33:00,82
2019-12-01 02:34:00,71
2019-12-01 02:35:00,73
2019-12-01 02:36:00,74
2019-12-01 02:37:00,69
2019-12-01 02:38:00,81
2019-12-01 02:39:00,42
2019-12-01 02:40:00,34
2019-12-01 02:41:00,40
2019-12-01 02:42:00,72
2019-12-01 02:43:00,88
2019-12-01 02:44:00,84
2019-12-01 02:45:00,87
2019-12-01 02:46:00,84
2019-12-01 02:47:00,83
2019-12-01 02:48:00,81
2019-12-01 02:49:00,48
2019-12-01 02:53:00,68
2019-12-01 02:54:00,91
2019-12-01 02:55:00,86
2019-12-01 02:56:00,91
2019-12-01 02:57:00,65
2019-12-01 02:58:00,72
2019-12-01 02:59:00,16
2019-12-01 03:00:00,16
2019-12-01 03:01:00,20
2019-12-01 03:02:00,70
2019-12-01 03:03:00,64
2019-12-01 03:04:00,56
2019-12-01 03:05:00,19
2019-12-01 03:06:00,22
2019-12-01 03:07:00,16
2019-12-01 03:08:00,23
2019-12-01 03:09:00,15
2019-12-01 03:10:00,10
2019-12-01 03:11:00,13
2019-12-01 03:12:00,12
2019-12-01 03:13:00,13
2019-12-01 03:14:00,12
2019-12-01 03:15:00,13
2019-12-01 03:16:00,13
2019-12-01 03:17:00,41
2019-12-01 03:18:00,61
2019-12-01 03:19:00,24
2019-12-01 03:20:00,21
2019-12-01 03:21:00,24
2019-12-01 03:22:00,54
2019-12-01 03:23:00,54
2019-12-01 03:24:00,49
2019-12-01 03:25:00,35
2019-12-01 03:26:00,35
2019-12-01 03:27:00,32
2019-12-01 03:28:00,66
2019-12-01 03:29:00,67
2019-12-01 03:30:00,96
2019-12-01 03:31:00,80
2019-12-01 03:32:00,90
2019-12-01 03:33:00,84
2019-12-01 03:34:00,72
2019-12-01 03:35:00,36
2019-12-01 03:36:00,35
2019-12-01 03:37:00,49
2019-12-01 03:38:00,86
2019-12-01 03:39:00,27
2019-12-01 03:40:00,10
2019-12-01 03:41:00,11
2019-12-01 03:42:00,53
2019-12-01 03:43:00,96
2019-12-01 03:44:00,97
2019-12-01 03:45:00,96
2019-12-01 03:46:00,88
2019-12-01 03:47:00,95
2019-12-01 03:48:00,94
2019-12-01 03:49:00,91
2019-12-01 03:50:00,96
2019-12-01 03:51:00,95
2019-12-01 03:52:00,90
2019-12-01 03:53:00,88
2019-12-01 03:54:00,101
2019-12-01 03:55:00,50
2019-12-01 03:56:00,43
2019-12-01 03:57:00,23
2019-12-01 03:58:00,55
2019-12-01 03:59:00,44
2019-12-01 04:00:00,33
2019-12-01 04:01:00,36
2019-12-01 04:02:00,32
2019-12-01 04:03:00,32
2019-12-01 04:04:00,35
2019-12-01 04:05:00,42
2019-12-01 04:06:00,84
2019-12-01 04:07:00,77
2019-12-01 04:08:00,76
2019-12-01 04:09:00,75
2019-12-01 04:10:00,74
2019-12-01 04:11:00,66
2019-12-01 04:12:00,75
2019-12-01 04:13:00,96
2019-12-01 04:14:00,61
2019-12-01 04:15:00,38
2019-12-01 04:16:00,40
2019-12-01 04:17:00,73
2019-12-01 04:18:00,58
2019-12-01 04:26:00,53
2019-12-01 04:27:00,81
2019-12-01 04:28:00,99
2019-12-01 04:29:00,98
2019-12-01 04:30:00,92
2019-12-01 04:31:00,95
2019-12-01 04:32:00,88
2019-12-01 04:33:00,104
2019-12-01 04:34:00,49
2019-12-01 04:35:00,52
2019-12-01 04:36:00,23
2019-12-01 04:37:00,57
2019-12-01 04:38:00,64
2019-12-01 04:39:00,62
2019-12-01 04:40:00,56
2019-12-01 04:41:00,71
2019-12-01 04:42:00,76
2019-12-01 04:43:00,77
2019-12-01 04:44:00,78
2019-12-01 04:45:00,69
2019-12-01 04:46:00,59
2019-12-01 04:47:00,59
2019-12-01 04:48:00,60
2019-12-01 04:49:00,61
2019-12-01 04:50:00,44
2019-12-01 04:51:00,35
2019-12-01 04:52:00,35
2019-12-01 04:53:00,7
2019-12-01 04:54:00,4
2019-12-01 04:55:00,34
2019-12-01 04:56:00,19
2019-12-01 04:57:00,64
2019-12-01 04:58:00,67
2019-12-01 04:59:00,67
2019-12-01 05:00:00,62
2019-12-01 05:01:00,66
2019-12-01 05:02:00,4
2019-12-01 05:09:00,1
2019-12-01 08:12:00,1
2019-12-01 08:13:00,87
2019-12-01 08:14:00,91
2019-12-01 08:15:00,77
2019-12-01 08:16:00,67
2019-12-01 08:17:00,18
2019-12-01 08:18:00,71
2019-12-01 08:19:00,57
2019-12-01 08:20:00,61
2019-12-01 08:21:00,61
2019-12-01 08:22:00,58
2019-12-01 08:23:00,57
2019-12-01 08:24:00,69
2019-12-01 08:25:00,77
2019-12-01 08:26:00,84
2019-12-01 08:27:00,14
2019-12-01 20:00:00,1
2019-12-01 20:01:00,46
2019-12-01 20:02:00,46
2019-12-01 20:03:00,44
2019-12-01 20:04:00,32
2019-12-01 20:05:00,33
2019-12-01 20:06:00,33
2019-12-01 20:07:00,34
2019-12-01 20:08:00,35
2019-12-01 20:09:00,53
2019-12-01 20:10:00,84
2019-12-01 20:11:00,84
2019-12-01 20:12:00,83
2019-12-01 20:13:00,15
