15,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-12-01 21:10:00,1
2019-12-01 21:11:00,1
2019-12-01 21:13:00,1
2019-12-01 21:22:00,1
2019-12-01 21:36:00,1
2019-12-01 21:48:00,1
2019-12-01 22:01:00,1
2019-12-01 22:12:00,1
2019-12-01 22:24:00,1
2019-12-01 22:36:00,1
2019-12-01 23:10:00,1
2019-12-01 23:21:00,1
2019-12-01 23:32:00,1
2019-12-01 23:43:00,1
2019-12-01 23:54:00,1
