10324,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-12-01 13:33:00,550
2019-12-01 13:34:00,202
2019-12-01 13:35:00,444
2019-12-01 13:38:00,158
2019-12-01 13:39:00,576
2019-12-01 13:40:00,157
2019-12-01 13:41:00,332
2019-12-01 13:42:00,312
2019-12-01 13:46:00,132
2019-12-01 13:47:00,108
2019-12-01 13:48:00,317
2019-12-01 13:50:00,183
2019-12-01 13:51:00,439
2019-12-01 13:54:00,591
2019-12-01 13:55:00,184
2019-12-01 13:56:00,180
2019-12-01 13:59:00,250
2019-12-01 14:00:00,208
2019-12-01 14:01:00,210
2019-12-01 14:02:00,18
2019-12-01 14:04:00,408
2019-12-01 14:05:00,86
2019-12-01 14:06:00,553
2019-12-01 14:07:00,566
2019-12-01 14:08:00,154
2019-12-01 14:13:00,518
2019-12-01 14:14:00,173
2019-12-01 14:18:00,463
2019-12-01 14:19:00,95
2019-12-01 14:21:00,173
2019-12-01 14:22:00,198
2019-12-01 14:23:00,324
2019-12-01 14:31:00,452
2019-12-01 14:32:00,55
2019-12-01 14:33:00,400
2019-12-01 14:41:00,155
