51,select distinct parent from DBViewCols where viewname=&&&
2019-12-01 02:10:00,3
2019-12-01 05:25:00,1
2019-12-01 05:35:00,1
2019-12-01 05:47:00,5
2019-12-01 05:48:00,1
2019-12-01 05:58:00,3
2019-12-01 05:59:00,3
2019-12-01 06:00:00,1
2019-12-01 06:01:00,2
2019-12-01 06:02:00,4
2019-12-01 06:03:00,1
2019-12-01 07:12:00,2
2019-12-01 07:13:00,1
2019-12-01 07:14:00,1
2019-12-01 14:03:00,17
2019-12-01 15:01:00,1
2019-12-01 18:04:00,1
2019-12-01 18:13:00,1
2019-12-01 18:14:00,1
2019-12-01 22:26:00,1
