45,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-12-01 00:59:00,1
2019-12-01 01:34:00,1
2019-12-01 05:29:00,1
2019-12-01 05:37:00,1
2019-12-01 05:39:00,2
2019-12-01 05:41:00,1
2019-12-01 05:44:00,1
2019-12-01 06:00:00,1
2019-12-01 08:25:00,1
2019-12-01 08:29:00,1
2019-12-01 08:30:00,1
2019-12-01 08:33:00,1
2019-12-01 08:37:00,1
2019-12-01 09:04:00,1
2019-12-01 09:05:00,1
2019-12-01 09:08:00,1
2019-12-01 09:09:00,1
2019-12-01 09:10:00,1
2019-12-01 09:11:00,1
2019-12-01 09:12:00,1
2019-12-01 20:12:00,1
2019-12-01 20:33:00,1
2019-12-01 20:37:00,1
2019-12-01 20:43:00,1
2019-12-01 20:55:00,1
2019-12-01 21:03:00,1
2019-12-01 21:12:00,1
2019-12-01 21:37:00,1
2019-12-01 21:39:00,1
2019-12-01 21:42:00,2
2019-12-01 21:43:00,1
2019-12-01 21:44:00,1
2019-12-01 21:45:00,1
2019-12-01 21:46:00,1
2019-12-01 21:49:00,1
2019-12-01 22:14:00,1
2019-12-01 22:15:00,2
2019-12-01 22:16:00,1
2019-12-01 22:24:00,1
2019-12-01 22:41:00,1
2019-12-01 22:50:00,1
2019-12-01 22:53:00,1
