2,"select top # g.dered_g, g.dered_r, g.petroMag_g, g.petroMag_r, g.extinction_g, g.extinction_r, g.g, g.r from Galaxy as g"
2019-12-01 02:27:00,1
2019-12-01 02:51:00,1
