172,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-12-01 01:20:00,4
2019-12-01 01:21:00,6
2019-12-01 01:22:00,4
2019-12-01 01:23:00,4
2019-12-01 01:24:00,4
2019-12-01 01:25:00,6
2019-12-01 01:26:00,6
2019-12-01 01:27:00,2
2019-12-01 01:36:00,6
2019-12-01 01:37:00,4
2019-12-01 01:38:00,5
2019-12-01 01:39:00,5
2019-12-01 06:22:00,4
2019-12-01 06:23:00,4
2019-12-01 08:31:00,2
2019-12-01 08:38:00,2
2019-12-01 21:02:00,2
2019-12-01 21:03:00,2
2019-12-01 21:11:00,4
2019-12-01 22:46:00,12
2019-12-01 22:47:00,7
2019-12-01 22:48:00,9
2019-12-01 22:49:00,8
2019-12-01 22:50:00,4
2019-12-01 22:53:00,4
2019-12-01 22:54:00,4
2019-12-01 22:55:00,4
2019-12-01 22:56:00,4
2019-12-01 22:57:00,7
2019-12-01 22:58:00,7
2019-12-01 22:59:00,6
2019-12-01 23:00:00,2
2019-12-01 23:06:00,1
2019-12-01 23:07:00,5
2019-12-01 23:08:00,3
2019-12-01 23:09:00,3
2019-12-01 23:10:00,4
2019-12-01 23:11:00,2
