32,"SELECT TOP # &&& + cast(p.objId as varchar(#)) +&&& + cast(p.objId as varchar(#)) + &&& as objID,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.g between # AND #"
2019-08-13 22:10:00,1
2019-08-13 22:22:00,3
2019-08-13 22:23:00,3
2019-08-13 22:24:00,2
2019-08-13 22:25:00,2
2019-08-13 22:31:00,4
2019-08-13 22:32:00,1
2019-08-13 22:36:00,1
2019-08-13 22:37:00,1
2019-08-13 22:38:00,1
2019-08-13 22:39:00,2
2019-08-13 22:43:00,1
2019-08-13 22:53:00,2
2019-08-13 22:57:00,1
2019-08-13 23:13:00,2
2019-08-13 23:14:00,2
2019-08-13 23:22:00,1
2019-08-13 23:29:00,1
2019-08-13 23:33:00,1
