11,"SELECT ra,dec FROM Galaxy WHERE  ra BETWEEN # and # AND dec BETWEEN # and #"
2019-08-13 13:02:00,2
2019-08-13 13:04:00,1
2019-08-13 13:05:00,1
2019-08-13 13:06:00,2
2019-08-13 13:07:00,1
2019-08-13 13:12:00,1
2019-08-13 13:13:00,1
2019-08-13 13:15:00,1
2019-08-13 13:17:00,1
