3,"SELECT TOP # p.run,p.rerun,p.camCol,p.field,p.obj FROM BESTDR8..PhotoObj AS p 	JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON p.objID = b.objID  WHERE  ( p.type = # OR p.type = #)"
2019-08-13 04:01:00,1
2019-08-13 04:02:00,2
