664,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-08-13 18:57:00,1
2019-08-13 18:58:00,1
2019-08-13 19:04:00,2
2019-08-13 19:05:00,4
2019-08-13 19:06:00,3
2019-08-13 19:07:00,3
2019-08-13 19:08:00,4
2019-08-13 19:09:00,3
2019-08-13 19:10:00,4
2019-08-13 19:11:00,4
2019-08-13 19:12:00,4
2019-08-13 19:13:00,2
2019-08-13 19:14:00,3
2019-08-13 19:15:00,4
2019-08-13 19:16:00,4
2019-08-13 19:17:00,3
2019-08-13 19:18:00,4
2019-08-13 19:19:00,3
2019-08-13 20:40:00,1
2019-08-13 20:45:00,1
2019-08-13 20:47:00,3
2019-08-13 20:48:00,2
2019-08-13 20:49:00,4
2019-08-13 20:50:00,5
2019-08-13 20:51:00,3
2019-08-13 20:52:00,3
2019-08-13 20:53:00,4
2019-08-13 20:54:00,4
2019-08-13 20:55:00,3
2019-08-13 20:56:00,4
2019-08-13 20:57:00,3
2019-08-13 20:58:00,5
2019-08-13 20:59:00,5
2019-08-13 21:00:00,4
2019-08-13 21:01:00,5
2019-08-13 21:02:00,4
2019-08-13 21:03:00,5
2019-08-13 21:04:00,3
2019-08-13 21:05:00,2
2019-08-13 21:06:00,2
2019-08-13 21:07:00,3
2019-08-13 21:08:00,6
2019-08-13 21:09:00,4
2019-08-13 21:10:00,4
2019-08-13 21:11:00,5
2019-08-13 21:12:00,4
2019-08-13 21:13:00,2
2019-08-13 21:14:00,5
2019-08-13 21:15:00,3
2019-08-13 21:16:00,3
2019-08-13 21:17:00,2
2019-08-13 21:18:00,2
2019-08-13 21:19:00,3
2019-08-13 21:20:00,3
2019-08-13 21:21:00,4
2019-08-13 21:22:00,4
2019-08-13 21:23:00,4
2019-08-13 21:24:00,5
2019-08-13 21:25:00,5
2019-08-13 21:26:00,4
2019-08-13 21:27:00,4
2019-08-13 21:28:00,3
2019-08-13 21:29:00,3
2019-08-13 21:30:00,3
2019-08-13 21:31:00,2
2019-08-13 21:32:00,3
2019-08-13 21:33:00,4
2019-08-13 21:34:00,4
2019-08-13 21:35:00,5
2019-08-13 21:36:00,5
2019-08-13 21:37:00,4
2019-08-13 21:38:00,3
2019-08-13 21:39:00,4
2019-08-13 21:40:00,4
2019-08-13 21:41:00,3
2019-08-13 21:42:00,4
2019-08-13 21:43:00,4
2019-08-13 21:44:00,4
2019-08-13 21:45:00,2
2019-08-13 21:46:00,3
2019-08-13 21:47:00,3
2019-08-13 21:48:00,3
2019-08-13 21:49:00,3
2019-08-13 21:50:00,4
2019-08-13 21:51:00,4
2019-08-13 21:52:00,3
2019-08-13 21:53:00,4
2019-08-13 21:54:00,4
2019-08-13 21:55:00,5
2019-08-13 21:56:00,3
2019-08-13 21:57:00,5
2019-08-13 21:58:00,3
2019-08-13 21:59:00,3
2019-08-13 22:00:00,2
2019-08-13 22:01:00,3
2019-08-13 22:02:00,3
2019-08-13 22:03:00,4
2019-08-13 22:04:00,3
2019-08-13 22:05:00,4
2019-08-13 22:06:00,3
2019-08-13 22:07:00,2
2019-08-13 22:08:00,2
2019-08-13 22:09:00,2
2019-08-13 22:10:00,2
2019-08-13 22:11:00,4
2019-08-13 22:12:00,5
2019-08-13 22:13:00,3
2019-08-13 22:14:00,4
2019-08-13 22:15:00,4
2019-08-13 22:16:00,3
2019-08-13 22:17:00,4
2019-08-13 22:18:00,2
2019-08-13 22:19:00,2
2019-08-13 22:20:00,3
2019-08-13 22:21:00,4
2019-08-13 22:22:00,5
2019-08-13 22:23:00,4
2019-08-13 22:24:00,2
2019-08-13 22:25:00,3
2019-08-13 22:26:00,4
2019-08-13 22:27:00,3
2019-08-13 22:28:00,2
2019-08-13 22:29:00,4
2019-08-13 22:30:00,2
2019-08-13 22:31:00,3
2019-08-13 22:32:00,4
2019-08-13 22:33:00,4
2019-08-13 22:34:00,4
2019-08-13 22:35:00,3
2019-08-13 22:36:00,5
2019-08-13 22:37:00,4
2019-08-13 22:38:00,3
2019-08-13 22:39:00,5
2019-08-13 22:40:00,3
2019-08-13 22:41:00,5
2019-08-13 22:42:00,4
2019-08-13 22:43:00,3
2019-08-13 22:44:00,4
2019-08-13 22:45:00,5
2019-08-13 22:46:00,3
2019-08-13 22:47:00,3
2019-08-13 22:48:00,5
2019-08-13 22:49:00,3
2019-08-13 22:50:00,5
2019-08-13 22:51:00,5
2019-08-13 22:52:00,3
2019-08-13 22:53:00,3
2019-08-13 22:54:00,4
2019-08-13 22:55:00,4
2019-08-13 22:56:00,3
2019-08-13 22:57:00,3
2019-08-13 22:58:00,3
2019-08-13 22:59:00,4
2019-08-13 23:00:00,5
2019-08-13 23:01:00,3
2019-08-13 23:02:00,4
2019-08-13 23:03:00,3
2019-08-13 23:04:00,4
2019-08-13 23:05:00,4
2019-08-13 23:06:00,2
2019-08-13 23:07:00,3
2019-08-13 23:08:00,3
2019-08-13 23:09:00,3
2019-08-13 23:10:00,5
2019-08-13 23:11:00,3
2019-08-13 23:12:00,4
2019-08-13 23:13:00,3
2019-08-13 23:14:00,4
2019-08-13 23:15:00,3
2019-08-13 23:16:00,4
2019-08-13 23:17:00,4
2019-08-13 23:18:00,4
2019-08-13 23:19:00,4
2019-08-13 23:20:00,3
2019-08-13 23:21:00,2
2019-08-13 23:22:00,3
2019-08-13 23:23:00,2
2019-08-13 23:24:00,4
2019-08-13 23:25:00,4
2019-08-13 23:26:00,3
2019-08-13 23:27:00,2
2019-08-13 23:28:00,1
2019-08-13 23:29:00,4
2019-08-13 23:30:00,3
2019-08-13 23:31:00,3
2019-08-13 23:32:00,2
2019-08-13 23:33:00,3
2019-08-13 23:34:00,3
2019-08-13 23:35:00,3
2019-08-13 23:36:00,3
2019-08-13 23:37:00,4
2019-08-13 23:38:00,3
2019-08-13 23:39:00,3
2019-08-13 23:43:00,1
2019-08-13 23:49:00,1
2019-08-13 23:53:00,1
