28,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-08-13 06:51:00,1
2019-08-13 06:53:00,1
2019-08-13 06:54:00,2
2019-08-13 13:06:00,1
2019-08-13 13:10:00,1
2019-08-13 13:11:00,2
2019-08-13 13:13:00,1
2019-08-13 13:54:00,1
2019-08-13 14:08:00,3
2019-08-13 14:09:00,3
2019-08-13 14:11:00,2
2019-08-13 14:12:00,3
2019-08-13 14:13:00,1
2019-08-13 14:14:00,1
2019-08-13 14:16:00,3
2019-08-13 15:17:00,1
2019-08-13 15:21:00,1
