3,"SELECT b.objid, m.dec as dec, m.ra as ra, b.distance from MyDB.Low_z_Gals m   CROSS APPLY dbo.fGetNearbyObjEq(m.ra,m.dec, .#) b   WHERE b.type = #"
2019-08-13 11:56:00,2
2019-08-13 11:59:00,1
