14685,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-30 13:39:00,39
2019-10-30 13:40:00,175
2019-10-30 13:41:00,164
2019-10-30 13:42:00,145
2019-10-30 13:43:00,86
2019-10-30 13:44:00,97
2019-10-30 13:45:00,185
2019-10-30 13:46:00,110
2019-10-30 13:47:00,120
2019-10-30 13:48:00,149
2019-10-30 13:49:00,131
2019-10-30 13:50:00,128
2019-10-30 13:51:00,150
2019-10-30 13:52:00,151
2019-10-30 13:53:00,143
2019-10-30 13:54:00,140
2019-10-30 13:55:00,158
2019-10-30 13:56:00,158
2019-10-30 13:57:00,201
2019-10-30 13:58:00,185
2019-10-30 13:59:00,177
2019-10-30 14:00:00,29
2019-10-30 14:01:00,10
2019-10-30 14:02:00,77
2019-10-30 14:03:00,198
2019-10-30 14:04:00,182
2019-10-30 14:05:00,126
2019-10-30 14:06:00,162
2019-10-30 14:07:00,134
2019-10-30 14:08:00,149
2019-10-30 14:09:00,161
2019-10-30 14:10:00,189
2019-10-30 14:11:00,196
2019-10-30 14:12:00,185
2019-10-30 14:13:00,172
2019-10-30 14:14:00,226
2019-10-30 14:15:00,145
2019-10-30 14:16:00,151
2019-10-30 14:17:00,198
2019-10-30 14:18:00,170
2019-10-30 14:19:00,194
2019-10-30 14:20:00,195
2019-10-30 14:21:00,162
2019-10-30 14:22:00,170
2019-10-30 14:23:00,138
2019-10-30 14:24:00,168
2019-10-30 14:25:00,190
2019-10-30 14:26:00,186
2019-10-30 14:27:00,195
2019-10-30 14:28:00,202
2019-10-30 14:29:00,175
2019-10-30 14:30:00,169
2019-10-30 14:31:00,180
2019-10-30 14:32:00,146
2019-10-30 14:33:00,171
2019-10-30 14:34:00,196
2019-10-30 14:35:00,185
2019-10-30 14:36:00,128
2019-10-30 14:37:00,123
2019-10-30 14:38:00,157
2019-10-30 14:39:00,157
2019-10-30 14:40:00,200
2019-10-30 14:41:00,138
2019-10-30 14:42:00,164
2019-10-30 14:43:00,176
2019-10-30 14:44:00,105
2019-10-30 14:45:00,160
2019-10-30 14:46:00,165
2019-10-30 14:47:00,204
2019-10-30 14:48:00,173
2019-10-30 14:49:00,178
2019-10-30 14:50:00,187
2019-10-30 14:51:00,145
2019-10-30 14:52:00,148
2019-10-30 14:53:00,145
2019-10-30 14:54:00,125
2019-10-30 14:55:00,79
2019-10-30 14:56:00,80
2019-10-30 14:57:00,75
2019-10-30 14:58:00,55
2019-10-30 14:59:00,66
2019-10-30 15:00:00,69
2019-10-30 15:01:00,69
2019-10-30 15:02:00,63
2019-10-30 15:03:00,66
2019-10-30 15:04:00,70
2019-10-30 15:05:00,94
2019-10-30 15:06:00,122
2019-10-30 15:07:00,168
2019-10-30 15:08:00,175
2019-10-30 15:09:00,150
2019-10-30 15:10:00,157
2019-10-30 15:11:00,46
2019-10-30 15:12:00,20
2019-10-30 15:13:00,10
2019-10-30 15:14:00,5
2019-10-30 15:15:00,5
2019-10-30 15:16:00,5
2019-10-30 15:17:00,112
2019-10-30 15:18:00,91
2019-10-30 15:19:00,7
2019-10-30 15:20:00,5
2019-10-30 15:21:00,4
2019-10-30 15:22:00,11
2019-10-30 15:23:00,7
2019-10-30 15:24:00,4
2019-10-30 15:25:00,4
2019-10-30 15:26:00,3
2019-10-30 15:27:00,6
2019-10-30 15:28:00,3
2019-10-30 15:29:00,147
2019-10-30 15:30:00,155
2019-10-30 15:31:00,166
2019-10-30 15:32:00,199
2019-10-30 15:33:00,149
2019-10-30 15:34:00,18
2019-10-30 15:48:00,2
2019-10-30 15:49:00,4
2019-10-30 15:50:00,5
2019-10-30 16:43:00,2
2019-10-30 16:44:00,4
2019-10-30 16:45:00,4
2019-10-30 16:46:00,3
2019-10-30 16:47:00,5
2019-10-30 16:48:00,3
2019-10-30 17:27:00,1
2019-10-30 17:52:00,2
2019-10-30 17:53:00,5
2019-10-30 17:54:00,3
2019-10-30 17:55:00,5
2019-10-30 17:56:00,6
2019-10-30 17:57:00,1
2019-10-30 17:59:00,5
2019-10-30 18:00:00,3
2019-10-30 18:01:00,5
2019-10-30 18:02:00,2
2019-10-30 18:03:00,4
2019-10-30 18:04:00,4
2019-10-30 18:05:00,2
2019-10-30 18:06:00,4
2019-10-30 18:07:00,6
2019-10-30 18:08:00,3
