86,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zerr, s.class FROM SpecObj as s WHERE s.specObjID = dbo.fGetNearestSpecObjIdEq(#,#,#) AND s.zWarning = # AND s.class = &&&"
2019-10-30 15:29:00,1
2019-10-30 15:30:00,4
2019-10-30 15:31:00,2
2019-10-30 15:33:00,1
2019-10-30 15:34:00,3
2019-10-30 15:36:00,1
2019-10-30 15:37:00,3
2019-10-30 15:39:00,2
2019-10-30 15:40:00,2
2019-10-30 15:41:00,1
2019-10-30 15:42:00,1
2019-10-30 19:33:00,2
2019-10-30 19:34:00,2
2019-10-30 19:37:00,9
2019-10-30 19:38:00,3
2019-10-30 19:40:00,10
2019-10-30 19:41:00,12
2019-10-30 19:42:00,1
2019-10-30 19:48:00,5
2019-10-30 19:49:00,12
2019-10-30 19:50:00,9
