832,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-10-30 13:10:00,29
2019-10-30 13:11:00,11
2019-10-30 13:26:00,1
2019-10-30 13:27:00,1
2019-10-30 13:28:00,39
2019-10-30 13:36:00,1
2019-10-30 13:37:00,57
2019-10-30 13:38:00,69
2019-10-30 13:39:00,60
2019-10-30 13:40:00,14
2019-10-30 13:42:00,5
2019-10-30 13:56:00,1
2019-10-30 14:12:00,1
2019-10-30 14:14:00,1
2019-10-30 14:16:00,5
2019-10-30 14:19:00,1
2019-10-30 14:22:00,1
2019-10-30 14:24:00,1
2019-10-30 14:26:00,1
2019-10-30 14:28:00,5
2019-10-30 14:45:00,10
2019-10-30 14:46:00,30
2019-10-30 15:05:00,23
2019-10-30 15:06:00,17
2019-10-30 15:43:00,25
2019-10-30 15:44:00,15
2019-10-30 16:31:00,1
2019-10-30 16:32:00,55
2019-10-30 16:33:00,64
2019-10-30 16:57:00,1
2019-10-30 16:58:00,1
2019-10-30 16:59:00,1
2019-10-30 17:01:00,1
2019-10-30 17:03:00,1
2019-10-30 17:04:00,1
2019-10-30 17:08:00,1
2019-10-30 17:11:00,1
2019-10-30 17:46:00,40
2019-10-30 19:03:00,8
2019-10-30 19:04:00,63
2019-10-30 19:05:00,9
2019-10-30 19:07:00,42
2019-10-30 19:08:00,50
2019-10-30 19:09:00,50
2019-10-30 19:10:00,18
