2,"select top # ra, dec, z, (# - #*log1#(spectroFlux_g)) from specobj where (ra between # and #) and (dec between # and #) and class = &&& and spectroFlux_g > #"
2019-10-30 21:47:00,1
2019-10-30 21:48:00,1
