150,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-10-30 13:27:00,10
2019-10-30 13:40:00,10
2019-10-30 13:42:00,1
2019-10-30 13:43:00,9
2019-10-30 13:56:00,3
2019-10-30 13:57:00,7
2019-10-30 14:12:00,10
2019-10-30 14:15:00,10
2019-10-30 14:16:00,3
2019-10-30 14:17:00,7
2019-10-30 14:19:00,7
2019-10-30 14:20:00,3
2019-10-30 14:23:00,10
2019-10-30 14:25:00,10
2019-10-30 14:26:00,3
2019-10-30 14:27:00,7
2019-10-30 14:29:00,10
2019-10-30 17:05:00,24
2019-10-30 17:06:00,6
