372,"INSERT INTO [VARIABLES] VALUES (             #, #, &&&, &&&, &&&,              NULL,              &&&,              &&&,              #,              #)"
2019-10-30 04:38:00,19
2019-10-30 04:39:00,36
2019-10-30 04:40:00,47
2019-10-30 04:41:00,12
2019-10-30 04:42:00,12
2019-10-30 05:00:00,26
2019-10-30 05:01:00,30
2019-10-30 05:02:00,19
2019-10-30 05:03:00,57
2019-10-30 05:04:00,38
2019-10-30 05:17:00,50
2019-10-30 05:18:00,26
