64,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_i, type_i, psfMagErr_i FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-10-30 02:58:00,1
2019-10-30 03:58:00,1
2019-10-30 04:41:00,1
2019-10-30 04:51:00,1
2019-10-30 04:53:00,1
2019-10-30 04:56:00,1
2019-10-30 05:00:00,1
2019-10-30 05:29:00,1
2019-10-30 06:14:00,1
2019-10-30 06:21:00,1
2019-10-30 06:35:00,1
2019-10-30 06:38:00,1
2019-10-30 06:51:00,1
2019-10-30 07:02:00,1
2019-10-30 07:18:00,1
2019-10-30 07:41:00,1
2019-10-30 08:01:00,1
2019-10-30 08:02:00,1
2019-10-30 08:04:00,1
2019-10-30 08:13:00,1
2019-10-30 08:34:00,1
2019-10-30 08:39:00,1
2019-10-30 08:44:00,1
2019-10-30 08:56:00,1
2019-10-30 09:03:00,1
2019-10-30 09:33:00,1
2019-10-30 09:47:00,1
2019-10-30 10:13:00,1
2019-10-30 10:33:00,1
2019-10-30 10:38:00,1
2019-10-30 11:11:00,1
2019-10-30 12:16:00,1
2019-10-30 12:25:00,1
2019-10-30 12:31:00,1
2019-10-30 12:39:00,1
2019-10-30 12:58:00,1
2019-10-30 13:01:00,1
2019-10-30 13:09:00,1
2019-10-30 13:11:00,1
2019-10-30 13:15:00,1
2019-10-30 13:17:00,1
2019-10-30 13:23:00,1
2019-10-30 13:27:00,1
2019-10-30 13:37:00,1
2019-10-30 13:41:00,1
2019-10-30 13:59:00,1
2019-10-30 14:03:00,1
2019-10-30 14:06:00,1
2019-10-30 14:11:00,1
2019-10-30 14:19:00,1
2019-10-30 14:27:00,1
2019-10-30 14:32:00,1
2019-10-30 14:38:00,1
2019-10-30 14:42:00,1
2019-10-30 14:48:00,1
2019-10-30 14:53:00,1
2019-10-30 14:58:00,1
2019-10-30 15:01:00,1
2019-10-30 15:12:00,1
2019-10-30 15:18:00,1
2019-10-30 15:20:00,1
2019-10-30 15:23:00,1
2019-10-30 15:29:00,1
2019-10-30 15:33:00,1
