134,select * from Photoz2 where objid=#
2019-10-30 02:31:00,1
2019-10-30 03:34:00,1
2019-10-30 09:47:00,1
2019-10-30 12:24:00,1
2019-10-30 14:18:00,1
2019-10-30 20:47:00,1
2019-10-30 20:48:00,1
2019-10-30 20:50:00,1
2019-10-30 20:51:00,1
2019-10-30 20:52:00,1
2019-10-30 20:53:00,1
2019-10-30 20:54:00,1
2019-10-30 20:55:00,1
2019-10-30 20:56:00,1
2019-10-30 20:57:00,1
2019-10-30 20:58:00,1
2019-10-30 20:59:00,1
2019-10-30 21:00:00,1
2019-10-30 21:01:00,1
2019-10-30 21:02:00,1
2019-10-30 21:03:00,1
2019-10-30 21:05:00,1
2019-10-30 21:06:00,1
2019-10-30 21:07:00,1
2019-10-30 21:08:00,1
2019-10-30 21:09:00,1
2019-10-30 21:10:00,1
2019-10-30 21:11:00,2
2019-10-30 21:13:00,1
2019-10-30 21:14:00,1
2019-10-30 21:15:00,2
2019-10-30 21:17:00,1
2019-10-30 21:18:00,1
2019-10-30 21:23:00,1
2019-10-30 21:24:00,1
2019-10-30 21:25:00,2
2019-10-30 21:26:00,1
2019-10-30 21:27:00,1
2019-10-30 21:28:00,1
2019-10-30 21:29:00,1
2019-10-30 21:30:00,1
2019-10-30 21:31:00,1
2019-10-30 21:32:00,1
2019-10-30 21:33:00,1
2019-10-30 21:34:00,1
2019-10-30 21:35:00,1
2019-10-30 21:36:00,1
2019-10-30 21:37:00,1
2019-10-30 21:39:00,1
2019-10-30 21:40:00,1
2019-10-30 21:48:00,1
2019-10-30 21:49:00,1
2019-10-30 21:50:00,1
2019-10-30 21:51:00,1
2019-10-30 21:52:00,1
2019-10-30 21:53:00,1
2019-10-30 21:55:00,1
2019-10-30 21:56:00,1
2019-10-30 21:57:00,1
2019-10-30 21:58:00,1
2019-10-30 21:59:00,1
2019-10-30 22:00:00,1
2019-10-30 22:01:00,1
2019-10-30 22:02:00,1
2019-10-30 22:08:00,1
2019-10-30 22:09:00,1
2019-10-30 22:11:00,1
2019-10-30 22:12:00,1
2019-10-30 22:13:00,1
2019-10-30 22:14:00,1
2019-10-30 22:15:00,3
2019-10-30 22:20:00,1
2019-10-30 22:21:00,1
2019-10-30 22:22:00,1
2019-10-30 22:23:00,1
2019-10-30 22:24:00,1
2019-10-30 22:26:00,1
2019-10-30 22:27:00,1
2019-10-30 22:28:00,1
2019-10-30 22:29:00,1
2019-10-30 22:30:00,1
2019-10-30 22:31:00,1
2019-10-30 22:42:00,1
2019-10-30 22:43:00,1
2019-10-30 22:44:00,1
2019-10-30 22:45:00,1
2019-10-30 22:46:00,1
2019-10-30 22:47:00,1
2019-10-30 22:48:00,1
2019-10-30 22:49:00,1
2019-10-30 22:50:00,1
2019-10-30 22:55:00,2
2019-10-30 22:56:00,1
2019-10-30 22:57:00,1
2019-10-30 22:59:00,1
2019-10-30 23:00:00,1
2019-10-30 23:01:00,1
2019-10-30 23:02:00,1
2019-10-30 23:03:00,1
2019-10-30 23:04:00,1
2019-10-30 23:08:00,1
2019-10-30 23:09:00,1
2019-10-30 23:10:00,1
2019-10-30 23:11:00,1
2019-10-30 23:12:00,1
2019-10-30 23:13:00,1
2019-10-30 23:14:00,1
2019-10-30 23:15:00,1
2019-10-30 23:16:00,1
2019-10-30 23:17:00,1
2019-10-30 23:18:00,1
2019-10-30 23:19:00,1
2019-10-30 23:20:00,1
2019-10-30 23:21:00,1
2019-10-30 23:22:00,2
2019-10-30 23:23:00,1
2019-10-30 23:24:00,1
2019-10-30 23:44:00,1
2019-10-30 23:45:00,1
2019-10-30 23:46:00,1
2019-10-30 23:47:00,1
2019-10-30 23:48:00,1
2019-10-30 23:49:00,1
2019-10-30 23:50:00,1
2019-10-30 23:51:00,2
2019-10-30 23:52:00,1
