2,"select top # m.mangaid, m.objra, m.objdec into mydb.mangafirst from dbo.mangaDRPall as m   CROSS APPLY dbo.fGetNearestObjEq( m.objra, m.objdec, #) AS n   join PhotoObj AS o on o.objID=n.objID"
2019-10-30 14:20:00,1
2019-10-30 14:21:00,1
