28,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-30 17:27:00,1
2019-10-30 17:29:00,1
2019-10-30 17:39:00,1
2019-10-30 19:09:00,1
2019-10-30 20:13:00,2
2019-10-30 20:15:00,1
2019-10-30 20:40:00,1
2019-10-30 20:41:00,1
2019-10-30 20:45:00,1
2019-10-30 20:46:00,1
2019-10-30 20:47:00,1
2019-10-30 20:50:00,1
2019-10-30 20:54:00,1
2019-10-30 21:32:00,1
2019-10-30 23:14:00,2
2019-10-30 23:16:00,1
2019-10-30 23:17:00,1
2019-10-30 23:18:00,1
2019-10-30 23:21:00,1
2019-10-30 23:22:00,2
2019-10-30 23:24:00,1
2019-10-30 23:25:00,1
2019-10-30 23:26:00,1
2019-10-30 23:46:00,1
2019-10-30 23:47:00,1
