809,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-10-30 21:12:00,30
2019-10-30 21:13:00,34
2019-10-30 21:14:00,34
2019-10-30 21:15:00,34
2019-10-30 21:16:00,33
2019-10-30 21:17:00,35
2019-10-30 21:18:00,34
2019-10-30 21:19:00,33
2019-10-30 21:20:00,34
2019-10-30 21:21:00,34
2019-10-30 21:22:00,34
2019-10-30 21:23:00,33
2019-10-30 21:24:00,32
2019-10-30 21:25:00,34
2019-10-30 21:26:00,34
2019-10-30 21:27:00,32
2019-10-30 21:28:00,23
2019-10-30 21:29:00,22
2019-10-30 21:30:00,23
2019-10-30 21:31:00,23
2019-10-30 21:32:00,22
2019-10-30 21:33:00,22
2019-10-30 21:34:00,23
2019-10-30 21:35:00,22
2019-10-30 21:36:00,23
2019-10-30 21:37:00,23
2019-10-30 21:38:00,22
2019-10-30 21:39:00,19
2019-10-30 21:40:00,8
