430,"INSERT INTO [VARIABLES] VALUES (             #, #, &&&, &&&, &&&,              NULL,              &&&,              NULL,              NULL,              NULL)"
2019-10-30 04:38:00,2
2019-10-30 04:39:00,3
2019-10-30 04:40:00,6
2019-10-30 04:41:00,26
2019-10-30 04:42:00,1
2019-10-30 04:59:00,6
2019-10-30 05:00:00,1
2019-10-30 05:01:00,3
2019-10-30 05:02:00,11
2019-10-30 05:03:00,7
2019-10-30 05:04:00,19
2019-10-30 05:05:00,5
2019-10-30 05:17:00,5
2019-10-30 05:18:00,3
2019-10-30 05:19:00,7
2019-10-30 05:20:00,69
2019-10-30 05:21:00,36
2019-10-30 05:22:00,45
2019-10-30 05:23:00,45
2019-10-30 05:24:00,69
2019-10-30 05:25:00,53
2019-10-30 05:26:00,8
