900,"INSERT INTO [VARIABLES] VALUES (             #, #, &&&, &&&, &&&,              &&&,              &&&,              &&&,              #,              #)"
2019-10-30 04:34:00,15
2019-10-30 04:35:00,56
2019-10-30 04:36:00,53
2019-10-30 04:37:00,56
2019-10-30 04:38:00,36
2019-10-30 05:05:00,48
2019-10-30 05:06:00,59
2019-10-30 05:07:00,55
2019-10-30 05:08:00,60
2019-10-30 05:09:00,56
2019-10-30 05:10:00,60
2019-10-30 05:11:00,55
2019-10-30 05:12:00,60
2019-10-30 05:13:00,57
2019-10-30 05:14:00,56
2019-10-30 05:15:00,54
2019-10-30 05:16:00,58
2019-10-30 05:17:00,6
