15,"select p.run,p.rerun,p.camcol,p.field, g.colc, g.rowc, g.petroR9#_r from dbo.fGetNearestObjEq(#,#,#) p, PhotoObjAll g where p.run=g.run and p.rerun=g.rerun and p.camcol=g.camcol and p.field=g.field and p.objid=g.objid and p.rerun>#"
2019-01-10 03:59:00,1
2019-01-10 12:41:00,1
2019-01-10 12:59:00,1
2019-01-10 13:20:00,1
2019-01-10 13:22:00,2
2019-01-10 13:28:00,1
2019-01-10 13:47:00,1
2019-01-10 14:06:00,2
2019-01-10 14:27:00,1
2019-01-10 17:27:00,2
2019-01-10 17:28:00,1
2019-01-10 17:31:00,1
