32,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-10 03:47:00,1
2019-01-10 03:50:00,2
2019-01-10 03:55:00,1
2019-01-10 04:02:00,1
2019-01-10 04:06:00,2
2019-01-10 04:11:00,2
2019-01-10 04:13:00,1
2019-01-10 04:18:00,2
2019-01-10 07:58:00,4
2019-01-10 08:01:00,2
2019-01-10 08:02:00,2
2019-01-10 08:05:00,2
2019-01-10 08:07:00,1
2019-01-10 08:10:00,4
2019-01-10 08:13:00,2
2019-01-10 08:16:00,2
2019-01-10 08:19:00,1
