10,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.nMgyPerCount_u, p.nMgyPerCount_g, nMgyPerCount_r, nMgyPerCount_i, nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.type=# AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-01-10 10:12:00,1
2019-01-10 10:14:00,1
2019-01-10 10:25:00,1
2019-01-10 10:29:00,1
2019-01-10 10:53:00,1
2019-01-10 11:00:00,1
2019-01-10 11:03:00,1
2019-01-10 11:07:00,1
2019-01-10 16:20:00,1
2019-01-10 16:28:00,1
