16,"SELECT TOP # p.ra,p.dec,p.run,p.rerun,p.camCol,p.field,p.obj,p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z,p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z,dbo.fIAUFromEq(p.ra,p.[dec]) as SDSSname,ISNULL(s.fiberID,#) as fiberID,ISNULL(s.mjd,#) as mjd,ISNULL(s.plate,#) as plate FROM BESTDR7..PhotoObj AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID 	JOIN #x AS x ON x.objID=p.objID JOIN #upload AS u ON u.up_id = x.up_id  WHERE  ( p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-10 18:26:00,1
2019-01-10 18:32:00,1
2019-01-10 18:44:00,3
2019-01-10 18:50:00,1
2019-01-10 18:51:00,3
2019-01-10 19:00:00,2
2019-01-10 19:05:00,1
2019-01-10 19:10:00,1
2019-01-10 19:14:00,1
2019-01-10 19:15:00,2
