76,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, psffwhm_g, psffwhm_r, psffwhm_i, p.expRad_g, p.expRad_r, p.expRad_i, p.expAB_g, p.expAB_r, p.expAB_i, p.expPhi_g, p.expPhi_r, p.expPhi_i FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid=p.specobjid WHERE p.specobjid = #"
2019-01-10 20:21:00,1
2019-01-10 20:22:00,2
2019-01-10 20:23:00,4
2019-01-10 20:24:00,1
2019-01-10 20:27:00,4
2019-01-10 20:28:00,4
2019-01-10 20:29:00,4
2019-01-10 20:30:00,5
2019-01-10 20:31:00,8
2019-01-10 20:35:00,3
2019-01-10 20:36:00,1
2019-01-10 20:44:00,1
2019-01-10 20:45:00,4
2019-01-10 20:47:00,4
2019-01-10 20:51:00,5
2019-01-10 20:52:00,7
2019-01-10 20:58:00,4
2019-01-10 20:59:00,2
2019-01-10 21:00:00,2
2019-01-10 21:09:00,1
2019-01-10 21:10:00,3
2019-01-10 21:18:00,4
2019-01-10 21:19:00,1
2019-01-10 22:43:00,1
