4,"SELECT objID, ra, dec, modelMag_r, modelMagErr_r, psfMag_r, psfMagErr_r, psfMag_u, psfMag_g, psfMag_i, psfMag_z, modelMag_u, modelMag_g, modelMag_i, modelMag_z, probPSF FROM PhotoPrimary WHERE dec > # and dec < # and ra > # and ra < #"
2019-08-06 08:03:00,1
2019-08-06 08:05:00,1
2019-08-06 08:06:00,2
