733,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-08-06 13:42:00,1
2019-08-06 14:16:00,1
2019-08-06 14:19:00,1
2019-08-06 14:24:00,9
2019-08-06 14:25:00,8
2019-08-06 14:26:00,7
2019-08-06 14:27:00,8
2019-08-06 14:28:00,8
2019-08-06 14:29:00,9
2019-08-06 14:30:00,8
2019-08-06 14:31:00,8
2019-08-06 14:32:00,8
2019-08-06 14:33:00,8
2019-08-06 14:34:00,9
2019-08-06 14:35:00,7
2019-08-06 14:36:00,9
2019-08-06 14:37:00,8
2019-08-06 14:38:00,8
2019-08-06 14:39:00,9
2019-08-06 14:40:00,8
2019-08-06 14:41:00,9
2019-08-06 14:42:00,7
2019-08-06 14:43:00,10
2019-08-06 14:44:00,8
2019-08-06 14:45:00,7
2019-08-06 14:46:00,9
2019-08-06 14:47:00,1
2019-08-06 15:42:00,1
2019-08-06 15:45:00,1
2019-08-06 15:46:00,2
2019-08-06 18:10:00,68
2019-08-06 18:11:00,97
2019-08-06 18:12:00,10
2019-08-06 18:13:00,229
2019-08-06 18:18:00,39
2019-08-06 18:19:00,19
2019-08-06 18:20:00,29
2019-08-06 18:21:00,24
2019-08-06 18:22:00,11
2019-08-06 18:23:00,3
2019-08-06 21:27:00,1
2019-08-06 21:28:00,6
