50,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-06 14:53:00,1
2019-08-06 14:54:00,1
2019-08-06 14:55:00,1
2019-08-06 14:56:00,2
2019-08-06 14:57:00,1
2019-08-06 14:58:00,2
2019-08-06 14:59:00,1
2019-08-06 15:00:00,1
2019-08-06 15:01:00,2
2019-08-06 15:02:00,1
2019-08-06 15:03:00,2
2019-08-06 15:04:00,1
2019-08-06 15:05:00,2
2019-08-06 15:06:00,1
2019-08-06 15:07:00,1
2019-08-06 15:08:00,2
2019-08-06 15:09:00,1
2019-08-06 15:10:00,1
2019-08-06 15:11:00,2
2019-08-06 15:12:00,1
2019-08-06 15:13:00,1
2019-08-06 15:14:00,2
2019-08-06 15:15:00,1
2019-08-06 15:16:00,1
2019-08-06 15:17:00,2
2019-08-06 15:18:00,1
2019-08-06 15:19:00,1
2019-08-06 15:20:00,2
2019-08-06 15:21:00,1
2019-08-06 15:22:00,2
2019-08-06 15:23:00,1
2019-08-06 15:24:00,1
2019-08-06 15:25:00,2
2019-08-06 15:26:00,1
2019-08-06 15:27:00,1
2019-08-06 15:28:00,2
2019-08-06 15:29:00,1
