136,"SELECT      n.distance,pz.*,o.gain_u,o.gain_g,o.gain_r,o.gain_i,o.gain_z,o.saturationLevel_u,o.saturationLevel_g     ,o.saturationLevel_r,o.saturationLevel_i,o.saturationLevel_z     FROM PhotoObjAll  as pz     JOIN dbo.fGetNearestObjEq( #,#,     #)      AS n ON pz.objid = n.objid          JOIN Field AS o ON pz.FieldID=o.FieldID     ORDER by n.distance"
2019-04-16 00:23:00,44
2019-04-16 00:24:00,24
2019-04-16 00:27:00,1
2019-04-16 00:28:00,56
2019-04-16 00:29:00,11
