4,"SELECT into mydb.A2#_Salmaz_#      s.objID, s.specObjID, s.ra, s.dec, s.z, s.zErr, s.class,   z.kcorrU, z.kcorrR, s.petroMag_u, s.petroMag_r    FROM    SpecPhotoAll s, Photoz z  WHERE    s.objID = z.objID       AND s.ra BETWEEN # AND #   AND s.dec BETWEEN # AND #   AND s.class = &&&"
2019-04-16 04:22:00,1
2019-04-16 04:23:00,1
2019-04-16 05:41:00,2
