663,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-16 12:32:00,136
2019-04-16 12:33:00,37
2019-04-16 12:37:00,13
2019-04-16 12:41:00,6
2019-04-16 12:44:00,15
2019-04-16 12:45:00,5
2019-04-16 12:46:00,5
2019-04-16 12:48:00,8
2019-04-16 12:49:00,140
2019-04-16 12:52:00,9
2019-04-16 12:53:00,9
2019-04-16 12:54:00,33
2019-04-16 12:55:00,35
2019-04-16 12:56:00,6
2019-04-16 12:57:00,2
2019-04-16 12:58:00,25
2019-04-16 13:02:00,8
2019-04-16 13:03:00,13
2019-04-16 13:04:00,9
2019-04-16 13:07:00,4
2019-04-16 13:09:00,7
2019-04-16 13:10:00,1
2019-04-16 13:12:00,5
2019-04-16 13:13:00,8
2019-04-16 13:16:00,8
2019-04-16 13:17:00,12
2019-04-16 13:18:00,9
2019-04-16 13:20:00,6
2019-04-16 13:21:00,3
2019-04-16 13:22:00,5
2019-04-16 13:23:00,4
2019-04-16 13:28:00,13
2019-04-16 13:32:00,1
2019-04-16 13:33:00,19
2019-04-16 13:34:00,14
2019-04-16 13:35:00,23
2019-04-16 13:39:00,7
