200,"SELECT         o.objid,o.specobjid,o.ra,o.dec, pz.z,pz.zerr,pz.photoErrorClass,f.gain_u,f.gain_g,f.gain_r,f.gain_i,f.gain_z,f.saturationLevel_u        ,f.saturationLevel_g,f.saturationLevel_r,f.saturationLevel_i,f.saturationLevel_z        From PhotoObjAll as o         JOIN fGetNearbyObjEq( #,#, #) AS n ON o.objid = n.objid        JOIN Photoz AS pz ON n.objid=pz.objid        JOIN Field AS f ON f.FieldID=o.FieldID        WHERE o.type = # and pz.photoErrorClass in (#,#,#, #) and pz.z > #        and pz.z < #"
2019-04-16 00:37:00,50
2019-04-16 00:38:00,25
2019-04-16 00:39:00,25
2019-04-16 00:44:00,38
2019-04-16 00:45:00,12
2019-04-16 01:55:00,18
2019-04-16 01:56:00,32
