2,"SELECT   n.*, asp.* into mydb.MyTable from mydb.nlirich as n   CROSS APPLY dbo.fGetNearbyApogeeStarEq( n.ra, n.dec, #) AS near   JOIN apogeeStar s ON s.apstar_id = near.apstar_id   JOIN cannonStar can ON can.apstar_id = s.apstar_id"
2019-04-16 01:41:00,1
2019-04-16 05:19:00,1
