1614,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_r < #"
2019-04-16 01:23:00,1
2019-04-16 01:24:00,8
2019-04-16 01:25:00,19
2019-04-16 01:26:00,9
2019-04-16 01:27:00,12
2019-04-16 01:28:00,13
2019-04-16 01:29:00,50
2019-04-16 01:30:00,58
2019-04-16 01:31:00,43
2019-04-16 01:32:00,23
2019-04-16 01:33:00,22
2019-04-16 01:34:00,24
2019-04-16 01:35:00,9
2019-04-16 01:36:00,24
2019-04-16 01:37:00,21
2019-04-16 01:38:00,17
2019-04-16 01:39:00,12
2019-04-16 01:40:00,22
2019-04-16 01:41:00,12
2019-04-16 01:42:00,9
2019-04-16 01:43:00,32
2019-04-16 01:44:00,55
2019-04-16 01:45:00,54
2019-04-16 01:46:00,35
2019-04-16 01:55:00,24
2019-04-16 01:56:00,57
2019-04-16 01:57:00,59
2019-04-16 01:58:00,60
2019-04-16 01:59:00,62
2019-04-16 02:00:00,60
2019-04-16 02:01:00,55
2019-04-16 02:02:00,56
2019-04-16 02:03:00,59
2019-04-16 02:04:00,39
2019-04-16 02:05:00,32
2019-04-16 03:24:00,2
2019-04-16 03:25:00,13
2019-04-16 03:26:00,10
2019-04-16 03:27:00,13
2019-04-16 03:28:00,14
2019-04-16 03:29:00,24
2019-04-16 03:30:00,21
2019-04-16 03:31:00,20
2019-04-16 03:32:00,22
2019-04-16 03:33:00,22
2019-04-16 03:34:00,15
2019-04-16 03:35:00,19
2019-04-16 03:36:00,20
2019-04-16 03:37:00,20
2019-04-16 03:38:00,20
2019-04-16 03:39:00,19
2019-04-16 03:40:00,20
2019-04-16 03:41:00,16
2019-04-16 03:42:00,16
2019-04-16 03:43:00,16
2019-04-16 03:44:00,16
2019-04-16 03:45:00,15
2019-04-16 03:46:00,17
2019-04-16 03:47:00,16
2019-04-16 03:48:00,14
2019-04-16 03:49:00,12
2019-04-16 03:50:00,13
2019-04-16 03:51:00,10
2019-04-16 03:52:00,12
