467,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-16 05:07:00,2
2019-04-16 05:08:00,33
2019-04-16 05:09:00,66
2019-04-16 05:28:00,98
2019-04-16 05:36:00,11
2019-04-16 05:37:00,86
2019-04-16 13:20:00,1
2019-04-16 13:25:00,1
2019-04-16 20:43:00,2
2019-04-16 20:44:00,5
2019-04-16 20:45:00,5
2019-04-16 20:47:00,2
2019-04-16 20:50:00,1
2019-04-16 20:51:00,2
2019-04-16 20:52:00,7
2019-04-16 20:54:00,2
2019-04-16 20:55:00,3
2019-04-16 20:57:00,1
2019-04-16 20:58:00,1
2019-04-16 21:01:00,1
2019-04-16 21:04:00,1
2019-04-16 21:05:00,1
2019-04-16 21:07:00,1
2019-04-16 21:09:00,1
2019-04-16 21:10:00,8
2019-04-16 21:11:00,5
2019-04-16 21:12:00,6
2019-04-16 21:13:00,4
2019-04-16 21:14:00,3
2019-04-16 21:15:00,5
2019-04-16 21:16:00,10
2019-04-16 21:17:00,15
2019-04-16 21:18:00,14
2019-04-16 21:19:00,13
2019-04-16 21:20:00,4
2019-04-16 21:21:00,5
2019-04-16 21:22:00,6
2019-04-16 21:24:00,3
2019-04-16 21:26:00,4
2019-04-16 21:27:00,4
2019-04-16 21:29:00,1
2019-04-16 21:34:00,1
2019-04-16 21:35:00,1
2019-04-16 21:36:00,5
2019-04-16 21:37:00,11
2019-04-16 21:38:00,5
