132791,"SELECT p.rowc_u,p.colc_u, p.rowc_g,p.colc_g, p.rowc_r,p.colc_r, p.rowc_i,p.colc_i, p.rowc_z,p.colc_z FROM PhotoObjAll as p WHERE p.objID = #"
2019-01-07 00:00:00,175
2019-01-07 00:01:00,179
2019-01-07 00:02:00,179
2019-01-07 00:03:00,177
2019-01-07 00:04:00,178
2019-01-07 00:05:00,155
2019-01-07 00:06:00,59
2019-01-07 00:07:00,179
2019-01-07 00:08:00,178
2019-01-07 00:09:00,178
2019-01-07 00:10:00,179
2019-01-07 00:11:00,181
2019-01-07 00:12:00,183
2019-01-07 00:13:00,181
2019-01-07 00:14:00,182
2019-01-07 00:15:00,178
2019-01-07 00:16:00,178
2019-01-07 00:17:00,179
2019-01-07 00:18:00,176
2019-01-07 00:19:00,180
2019-01-07 00:20:00,172
2019-01-07 00:21:00,179
2019-01-07 00:22:00,182
2019-01-07 00:23:00,180
2019-01-07 00:24:00,180
2019-01-07 00:25:00,174
2019-01-07 00:26:00,178
2019-01-07 00:27:00,177
2019-01-07 00:28:00,178
2019-01-07 00:29:00,172
2019-01-07 00:30:00,180
2019-01-07 00:31:00,180
2019-01-07 00:32:00,182
2019-01-07 00:33:00,178
2019-01-07 00:34:00,178
2019-01-07 00:35:00,177
2019-01-07 00:36:00,175
2019-01-07 00:37:00,177
2019-01-07 00:38:00,180
2019-01-07 00:39:00,181
2019-01-07 00:40:00,181
2019-01-07 00:41:00,182
2019-01-07 00:42:00,178
2019-01-07 00:43:00,179
2019-01-07 00:44:00,177
2019-01-07 00:45:00,176
2019-01-07 00:46:00,175
2019-01-07 00:47:00,168
2019-01-07 00:48:00,180
2019-01-07 00:49:00,182
2019-01-07 00:50:00,180
2019-01-07 00:51:00,178
2019-01-07 00:52:00,173
2019-01-07 00:53:00,175
2019-01-07 00:54:00,175
2019-01-07 00:55:00,167
2019-01-07 00:56:00,181
2019-01-07 00:57:00,179
2019-01-07 00:58:00,178
2019-01-07 00:59:00,181
2019-01-07 01:00:00,178
2019-01-07 01:01:00,179
2019-01-07 01:02:00,177
2019-01-07 01:03:00,177
2019-01-07 01:04:00,173
2019-01-07 01:05:00,180
2019-01-07 01:06:00,180
2019-01-07 01:07:00,177
2019-01-07 01:08:00,174
2019-01-07 01:09:00,174
2019-01-07 01:10:00,176
2019-01-07 01:11:00,172
2019-01-07 01:12:00,176
2019-01-07 01:13:00,176
2019-01-07 01:14:00,180
2019-01-07 01:15:00,176
2019-01-07 01:16:00,178
2019-01-07 01:17:00,176
2019-01-07 01:18:00,172
2019-01-07 01:19:00,176
2019-01-07 01:20:00,177
2019-01-07 01:21:00,179
2019-01-07 01:22:00,176
2019-01-07 01:23:00,173
2019-01-07 01:24:00,176
2019-01-07 01:25:00,180
2019-01-07 01:26:00,178
2019-01-07 01:27:00,176
2019-01-07 01:28:00,174
2019-01-07 01:29:00,177
2019-01-07 01:30:00,173
2019-01-07 01:31:00,178
2019-01-07 01:32:00,179
2019-01-07 01:33:00,181
2019-01-07 01:34:00,180
2019-01-07 01:35:00,175
2019-01-07 01:36:00,180
2019-01-07 01:37:00,171
2019-01-07 01:38:00,179
2019-01-07 01:39:00,175
2019-01-07 01:40:00,177
2019-01-07 01:41:00,172
2019-01-07 01:42:00,179
2019-01-07 01:43:00,180
2019-01-07 01:44:00,181
2019-01-07 01:45:00,179
2019-01-07 01:46:00,180
2019-01-07 01:47:00,181
2019-01-07 01:48:00,178
2019-01-07 01:49:00,177
2019-01-07 01:50:00,182
2019-01-07 01:51:00,163
2019-01-07 01:52:00,182
2019-01-07 01:53:00,180
2019-01-07 01:54:00,177
2019-01-07 01:55:00,176
2019-01-07 01:56:00,177
2019-01-07 01:57:00,168
2019-01-07 01:58:00,179
2019-01-07 01:59:00,177
2019-01-07 02:00:00,182
2019-01-07 02:01:00,178
2019-01-07 02:02:00,177
2019-01-07 02:03:00,178
2019-01-07 02:04:00,174
2019-01-07 02:05:00,175
2019-01-07 02:06:00,175
2019-01-07 02:07:00,178
2019-01-07 02:08:00,180
2019-01-07 02:09:00,181
2019-01-07 02:10:00,182
2019-01-07 02:11:00,179
2019-01-07 02:12:00,173
2019-01-07 02:13:00,171
2019-01-07 02:14:00,177
2019-01-07 02:15:00,176
2019-01-07 02:16:00,183
2019-01-07 02:17:00,181
2019-01-07 02:18:00,181
2019-01-07 02:19:00,172
2019-01-07 02:20:00,175
2019-01-07 02:21:00,180
2019-01-07 02:22:00,178
2019-01-07 02:23:00,177
2019-01-07 02:24:00,178
2019-01-07 02:25:00,176
2019-01-07 02:26:00,182
2019-01-07 02:27:00,182
2019-01-07 02:28:00,182
2019-01-07 02:29:00,168
2019-01-07 02:30:00,168
2019-01-07 02:31:00,173
2019-01-07 02:32:00,172
2019-01-07 02:33:00,177
2019-01-07 02:34:00,176
2019-01-07 02:35:00,172
2019-01-07 02:36:00,182
