2,"SELECT DISTINCT p.ra , p.dec FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-01-07 11:38:00,1
2019-01-07 11:39:00,1
