42,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-07-21 00:00:00,1
2019-07-21 00:01:00,1
2019-07-21 00:04:00,2
2019-07-21 11:13:00,1
2019-07-21 11:15:00,1
2019-07-21 12:17:00,1
2019-07-21 13:01:00,2
2019-07-21 13:02:00,4
2019-07-21 13:03:00,1
2019-07-21 13:04:00,11
2019-07-21 13:06:00,4
2019-07-21 13:07:00,3
2019-07-21 13:08:00,1
2019-07-21 15:42:00,1
2019-07-21 15:54:00,1
2019-07-21 16:14:00,1
2019-07-21 16:56:00,1
2019-07-21 20:11:00,1
2019-07-21 20:24:00,1
2019-07-21 22:44:00,1
2019-07-21 22:46:00,1
2019-07-21 23:05:00,1
