2,"SELECT TOP #po.objid, po.ra, po.dec, po.u, po.g, po.r, po.i, po.z, po.run, po.rerun, po.camcol, po.field, sp.specobjid, sp.class, sp.z as redshift, sp.plate, sp.mjd, sp.fiberid FROM PhotoObj AS po JOINS pecObj AS sp ON sp.bestobjid = po.objid WHERE po.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-07-21 16:33:00,1
2019-07-21 16:34:00,1
