15,select '{I1: [#
2019-07-21 15:27:00,1
2019-07-21 15:28:00,1
2019-07-21 15:29:00,2
2019-07-21 15:30:00,1
2019-07-21 15:39:00,2
2019-07-21 15:40:00,3
2019-07-21 15:44:00,5
