78,"SELECT max(s.z)  FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid  WHERE p.objid IN  (#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#"
2019-07-21 07:05:00,2
2019-07-21 07:06:00,2
2019-07-21 07:07:00,1
2019-07-21 07:08:00,2
2019-07-21 07:09:00,1
2019-07-21 07:10:00,1
2019-07-21 07:11:00,2
2019-07-21 07:12:00,2
2019-07-21 07:13:00,2
2019-07-21 07:15:00,1
2019-07-21 07:17:00,2
2019-07-21 07:18:00,2
2019-07-21 07:19:00,1
2019-07-21 07:20:00,1
2019-07-21 07:21:00,1
2019-07-21 07:22:00,1
2019-07-21 21:58:00,1
2019-07-21 21:59:00,1
2019-07-21 22:00:00,2
2019-07-21 22:01:00,1
2019-07-21 22:02:00,2
2019-07-21 22:03:00,2
2019-07-21 22:04:00,1
2019-07-21 22:05:00,2
2019-07-21 22:06:00,2
2019-07-21 22:07:00,1
2019-07-21 22:08:00,2
2019-07-21 22:09:00,1
2019-07-21 22:10:00,1
2019-07-21 23:04:00,1
2019-07-21 23:06:00,1
2019-07-21 23:09:00,1
2019-07-21 23:37:00,1
2019-07-21 23:38:00,13
2019-07-21 23:39:00,1
2019-07-21 23:56:00,7
2019-07-21 23:57:00,2
2019-07-21 23:58:00,4
2019-07-21 23:59:00,4
