83,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-08 12:55:00,10
2019-11-08 12:57:00,10
2019-11-08 12:58:00,1
2019-11-08 12:59:00,9
2019-11-08 13:01:00,10
2019-11-08 13:02:00,4
2019-11-08 13:03:00,6
2019-11-08 13:04:00,5
2019-11-08 13:05:00,5
2019-11-08 13:06:00,3
2019-11-08 13:09:00,10
2019-11-08 13:11:00,10
