655,"select top # p.*,   s.z as zspec,   s.zErr as zspec_err, s.zWarning, s.class,   s.subclass, s.primTarget,   s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z,   s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z,   s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z  from Galaxy as p, SpecObj as s  where   p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId   AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-11-08 12:32:00,52
2019-11-08 12:33:00,9
2019-11-08 12:34:00,21
2019-11-08 12:35:00,16
2019-11-08 12:36:00,19
2019-11-08 12:37:00,4
2019-11-08 12:38:00,9
2019-11-08 12:39:00,7
2019-11-08 12:40:00,5
2019-11-08 12:41:00,1
2019-11-08 12:43:00,5
2019-11-08 12:44:00,2
2019-11-08 12:45:00,8
2019-11-08 12:46:00,17
2019-11-08 12:47:00,2
2019-11-08 12:48:00,1
2019-11-08 12:49:00,6
2019-11-08 12:50:00,5
2019-11-08 12:51:00,3
2019-11-08 12:52:00,1
2019-11-08 12:53:00,1
2019-11-08 12:55:00,1
2019-11-08 12:56:00,1
2019-11-08 12:57:00,3
2019-11-08 12:58:00,1
2019-11-08 12:59:00,1
2019-11-08 13:02:00,5
2019-11-08 13:03:00,3
2019-11-08 13:04:00,1
2019-11-08 13:05:00,1
2019-11-08 13:06:00,6
2019-11-08 13:07:00,13
2019-11-08 13:08:00,17
2019-11-08 13:09:00,16
2019-11-08 13:10:00,13
2019-11-08 13:11:00,8
2019-11-08 13:12:00,4
2019-11-08 13:13:00,9
2019-11-08 13:14:00,4
2019-11-08 13:15:00,1
2019-11-08 13:16:00,9
2019-11-08 13:17:00,6
2019-11-08 13:18:00,2
2019-11-08 13:19:00,5
2019-11-08 13:20:00,1
2019-11-08 13:21:00,12
2019-11-08 13:22:00,5
2019-11-08 13:23:00,2
2019-11-08 13:24:00,1
2019-11-08 13:25:00,2
2019-11-08 13:26:00,5
2019-11-08 13:28:00,1
2019-11-08 13:29:00,1
2019-11-08 13:30:00,3
2019-11-08 13:31:00,2
2019-11-08 13:32:00,1
2019-11-08 13:33:00,4
2019-11-08 13:34:00,5
2019-11-08 13:35:00,8
2019-11-08 13:36:00,3
2019-11-08 13:37:00,4
2019-11-08 13:38:00,1
2019-11-08 13:39:00,2
2019-11-08 13:41:00,3
2019-11-08 13:42:00,14
2019-11-08 13:43:00,4
2019-11-08 13:44:00,5
2019-11-08 16:56:00,53
2019-11-08 16:57:00,106
2019-11-08 16:58:00,57
2019-11-08 16:59:00,26
